original,translate
Ice Salamander does not have a valid target!,冰火蜥蜴没有有效目标！
Mold Child does not have a valid target!,霉菌幼体没有有效目标！
Ooze does not have a valid target!,软泥怪没有有效目标！
Flesh Ooze does not have a valid target!,血肉软泥怪没有有效目标！
Medusa Jelly does not have a valid target!,美杜莎果冻没有有效目标！
Risen Ooze does not have a valid target!,复生软泥怪没有有效目标！
Magma Ooze does not have a valid target!,岩浆软泥怪没有有效目标！
Magmite does not have a valid target!,岩浆虫没有有效目标！
Large Ooze does not have a valid target!,大型软泥怪没有有效目标！
Giant Rat does not have a valid target!,巨鼠没有有效目标！
Dire Rat does not have a valid target!,凶暴鼠没有有效目标！
Chitters-In-Darkness does not have a valid target!,暗影低语者没有有效目标！
Rabid Rat does not have a valid target!,狂怒鼠没有有效目标！
Shade does not have a valid target!,幽影没有有效目标！
Dire Serpent does not have a valid target!,凶暴蛇没有有效目标！
Fell Serpent does not have a valid target!,凶煞蛇没有有效目标！
Giant Snake does not have a valid target!,巨蛇没有有效目标！
Fleshstrider does not have a valid target!,血肉行者没有有效目标！
Flying Polyp does not have a valid target!,飞行水螅体没有有效目标！
Dragon's Herald does not have a valid target!,龙使没有有效目标！
Evolved does not have a valid target!,进化者没有有效目标！
Newborne does not have a valid target!,新生儿没有有效目标！
Vessel does not have a valid target!,容器没有有效目标！
Stalker does not have a valid target!,猎手没有有效目标！
Giant Spider does not have a valid target!,巨蜘蛛没有有效目标！
Large Spider does not have a valid target!,大蜘蛛没有有效目标！
Shambler does not have a valid target!,行尸没有有效目标！
Frost Shambler does not have a valid target!,寒霜行尸没有有效目标！
Reaver Berserker does not have a valid target!,劫掠者狂战士没有有效目标！
Brigand Archer does not have a valid target!,强盗弓箭手没有有效目标！
Brigand Rogue does not have a valid target!,强盗游荡者没有有效目标！
Brigand Swordsman does not have a valid target!,强盗剑士没有有效目标！
Mad Sailor does not have a valid target!,疯水手没有有效目标！
Mad Sailo does not have a valid target!,疯水手没有有效目标！
Guild Magos does not have a valid target!,公会法师没有有效目标！
Guild Mag does not have a valid target!,公会法师没有有效目标！
Wight does not have a valid target!,尸妖没有有效目标！
Feral Clone does not have a valid target!,野性克隆体没有有效目标！
Jester does not have a valid target!,弄臣没有有效目标！
Reaver Brute does not have a valid target!,掠夺者蛮兵没有有效目标！
Reaver Scout does not have a valid target!,劫掠者侦察兵没有有效目标！
Reaver does not have a valid target!,劫掠者没有有效目标！
Reaver Blackguard does not have a valid target!,劫掠者黑卫没有有效目标！
Reaver Mystic does not have a valid target!,劫掠者秘术师没有有效目标！
Cultist does not have a valid target!,邪教徒没有有效目标！
Bobbert the Recruit does not have a valid target!,新兵博伯特没有有效目标！
Wreck Picker does not have a valid target!,残骸拾荒者没有有效目标！
Oleg the Gray does not have a valid target!,灰发奥列格没有有效目标！
Red Kala does not have a valid target!,红卡菈没有有效目标！
The Butcher does not have a valid target!,屠夫没有有效目标！
Snow does not have a valid target!,斯诺没有有效目标！
The Ancient King does not have a valid target!,古王没有有效目标！
Joran the Usurper does not have a valid target!,篡位者约兰没有有效目标！
Baroness does not have a valid target!,男爵夫人没有有效目标！
Handmaid does not have a valid target!,侍女没有有效目标！
Majordomo does not have a valid target!,大管家没有有效目标！
#Combatant holds his action,#战斗员暂缓行动，
{PLAYER} holds his action,{PLAYER}暂缓行动，
{PLAYER} holds her action,{PLAYER}暂缓行动，
Kat holds her action,卡蒂暂缓行动，
Roland holds his action,罗兰暂缓行动，
Driina holds her action,德莉娜暂缓行动，
Iben holds his action,伊本暂缓行动，
Iago holds his action,伊阿戈暂缓行动，
Embla holds her action,恩布拉暂缓行动，
#Combatant immune to,#战斗员免疫于
{PLAYER} immune to,{PLAYER}免疫于
Kat immune to,卡蒂免疫于
Roland immune to,罗兰免疫于
Driina immune to,德莉娜免疫于
Iben immune to,伊本免疫于
Iago immune to,伊阿戈免疫于
Embla immune to,恩布拉免疫于
Giant Bat immune to,巨蝙蝠免疫于
Giant Beetle immune to,巨甲虫免疫于
Rhino Beetle immune to,犀甲虫免疫于
Carrion Crawler immune to,腐尸爬行者免疫于
Giant Centipede immune to,巨蜈蚣免疫于
Fell Crab immune to,凶煞蟹免疫于
Corpse Eater immune to,食尸者免疫于
Giant Crab immune to,巨螃蟹免疫于
Crab immune to,螃蟹免疫于
Rot Crab immune to,腐烂蟹免疫于
Spider Crab immune to,蜘蛛蟹免疫于
Brood Guard immune to,巢穴守卫免疫于
Father immune to,【父亲】免疫于
Deep One Priestess immune to,深潜者女祭司免疫于
Deep One Queen immune to,深潜者女王免疫于
Deep One Warrior immune to,深潜者战士免疫于
Devolved immune to,退化者免疫于
Ghoul immune to,食尸鬼免疫于
Frost Ghoul immune to,寒霜食尸鬼免疫于
Giant Gnat immune to,巨型蠓虫免疫于
Cave Gnat immune to,洞穴蠓虫免疫于
Fell Hog immune to,凶煞野猪免疫于
Dire Hound immune to,凶暴野狗免疫于
Fell Hound immune to,凶煞野狗免疫于
Ice Hound immune to,冰原野狗免疫于
Ice Strider immune to,冰上漫步者免疫于
Shadow Stalker immune to,暗影猎手免疫于
Giant Leech immune to,巨型水蛭免疫于
Albino Leech immune to,白化水蛭免疫于
Bloodletter immune to,放血者免疫于
Fell Lizard immune to,凶煞蜥蜴免疫于
Alpha Lizard immune to,阿尔法蜥蜴免疫于
Giant Lizard immune to,巨蜥免疫于
Ice Salamander immune to,冰火蜥蜴免疫于
Mold Child immune to,霉菌幼体免疫于
Ooze immune to,软泥怪免疫于
Flesh Ooze immune to,血肉软泥怪免疫于
Medusa Jelly immune to,美杜莎果冻免疫于
Risen Ooze immune to,复生软泥怪免疫于
Magma Ooze immune to,岩浆软泥怪免疫于
Magmite immune to,岩浆虫免疫于
Large Ooze immune to,大型软泥怪免疫于
Giant Rat immune to,巨鼠免疫于
Dire Rat immune to,凶暴鼠免疫于
Chitters-In-Darkness immune to,暗影低语者免疫于
Rabid Rat immune to,狂怒鼠免疫于
Shade immune to,颜色免疫于
Dire Serpent immune to,凶暴蛇免疫于
Fell Serpent immune to,凶煞蛇免疫于
Giant Snake immune to,巨蛇免疫于
Fleshstrider immune to,血肉行者免疫于
Flying Polyp immune to,飞行息肉免疫于
Dragon's Herald immune to,龙使免疫于
Evolved immune to,进化者免疫于
Newborne immune to,新生儿免疫于
Vessel immune to,容器免疫于
Stalker immune to,猎手免疫于
Giant Spider immune to,巨蜘蛛免疫于
Large Spider immune to,大蜘蛛免疫于
Shambler immune to,行尸免疫于
Frost Shambler immune to,寒霜行尸免疫于
Reaver Berserker immune to,劫掠者狂战士免疫于
Brigand Archer immune to,强盗弓箭手免疫于
Brigand Rogue immune to,强盗游荡者免疫于
Brigand Swordsman immune to,强盗剑士免疫于
Mad Sailor immune to,疯水手免疫于
Mad Sailo immune to,疯水手免疫于
Guild Magos immune to,公会法师免疫于
Guild Mag immune to,公会法师免疫于
Wight immune to,尸妖免疫于
Feral Clone immune to,野性克隆体免疫于
Jester immune to,弄臣免疫于
Reaver Brute immune to,掠夺者蛮兵免疫于
Reaver Scout immune to,劫掠者侦察兵免疫于
Reaver immune to,劫掠者免疫于
Reaver Blackguard immune to,劫掠者黑卫免疫于
Reaver Mystic immune to,劫掠者秘术师免疫于
Cultist immune to,邪教徒免疫于
Bobbert the Recruit immune to,新兵博伯特免疫于
Wreck Picker immune to,残骸拾荒者免疫于
Oleg the Gray immune to,灰发奥列格免疫于
Red Kala immune to,红卡菈免疫于
The Butcher immune to,屠夫免疫于
Snow immune to,斯诺免疫于
The Ancient King immune to,古王免疫于
Joran the Usurper immune to,篡位者约兰免疫于
Baroness immune to,男爵夫人免疫于
Handmaid immune to,侍女免疫于
Majordomo immune to,大管家免疫于
#Combatant immune to the condition,#免疫该状态的战斗单位
{PLAYER} immune to the condition,{PLAYER}免疫该状态
Kat immune to the condition,卡蒂免疫该状态
Roland immune to the condition,罗兰免疫该状态
Driina immune to the condition,德莉娜免疫该状态
Iben immune to the condition,伊本免疫该状态
Iago immune to the condition,伊阿戈免疫该状态
Embla immune to the condition,恩布拉免疫该状态
Giant Bat immune to the condition,巨蝙蝠免疫该状态
Giant Beetle immune to the condition,巨甲虫免疫该状态
Rhino Beetle immune to the condition,犀甲虫免疫该状态
Carrion Crawler immune to the condition,腐尸爬行者免疫该状态
Giant Centipede immune to the condition,巨蜈蚣免疫该状态
Fell Crab immune to the condition,凶煞蟹免疫该状态
Corpse Eater immune to the condition,食尸者免疫该状态
Giant Crab immune to the condition,巨螃蟹免疫该状态
Crab immune to the condition,螃蟹免疫该状态
Rot Crab immune to the condition,腐烂蟹免疫该状态
Spider Crab immune to the condition,蜘蛛蟹免疫该状态
Brood Guard immune to the condition,巢穴守卫免疫该状态
Father immune to the condition,【父亲】免疫该状态
Deep One Priestess immune to the condition,深潜者女祭司免疫该状态
Deep One Queen immune to the condition,深潜者女王免疫该状态
Deep One Warrior immune to the condition,深潜者战士免疫该状态
Devolved immune to the condition,退化者免疫该状态
Ghoul immune to the condition,食尸鬼免疫该状态
Frost Ghoul immune to the condition,寒霜食尸鬼免疫该状态
Giant Gnat immune to the condition,巨型蠓虫免疫该状态
Cave Gnat immune to the condition,洞穴蠓虫免疫该状态
Fell Hog immune to the condition,凶煞野猪免疫该状态
Dire Hound immune to the condition,凶暴野狗免疫该状态
Fell Hound immune to the condition,凶煞野狗免疫该状态
Ice Hound immune to the condition,冰原野狗免疫该状态
Ice Strider immune to the condition,冰上漫步者免疫该状态
Shadow Stalker immune to the condition,暗影猎手免疫该状态
Giant Leech immune to the condition,巨型水蛭免疫该状态
Albino Leech immune to the condition,白化水蛭免疫该状态
Bloodletter immune to the condition,放血者免疫该状态
Fell Lizard immune to the condition,凶煞蜥蜴免疫该状态
Alpha Lizard immune to the condition,阿尔法蜥蜴免疫该状态
Giant Lizard immune to the condition,巨蜥免疫该状态
Ice Salamander immune to the condition,冰火蜥蜴免疫该状态
Mold Child immune to the condition,霉菌幼体免疫该状态
Ooze immune to the condition,软泥怪免疫该状态
Flesh Ooze immune to the condition,血肉软泥怪免疫该状态
Medusa Jelly immune to the condition,美杜莎果冻免疫该状态
Risen Ooze immune to the condition,复生软泥怪免疫该状态
Magma Ooze immune to the condition,岩浆软泥怪免疫该状态
Magmite immune to the condition,岩浆怪免疫该状态
Large Ooze immune to the condition,大型软泥怪免疫该状态
Giant Rat immune to the condition,巨鼠免疫该状态
Dire Rat immune to the condition,凶暴鼠免疫该状态
Chitters-In-Darkness immune to the condition,暗影低语者免疫该状态
Rabid Rat immune to the condition,狂怒鼠免疫该状态
Shade immune to the condition,幽影免疫该状态
Dire Serpent immune to the condition,凶暴蛇免疫该状态
Fell Serpent immune to the condition,凶煞蛇免疫该状态
Giant Snake immune to the condition,巨蛇免疫该状态
Fleshstrider immune to the condition,血肉行者免疫该状态
Flying Polyp immune to the condition,飞天水螅免疫该状态
Dragon's Herald immune to the condition,龙使免疫该状态
Evolved immune to the condition,进化体免疫该状态
Newborne immune to the condition,新生儿免疫该状态
Vessel immune to the condition,容器免疫该状态
Stalker immune to the condition,猎手免疫该状态
Giant Spider immune to the condition,巨蜘蛛免疫该状态
Large Spider immune to the condition,大蜘蛛免疫该状态
Shambler immune to the condition,行尸免疫该状态
Frost Shambler immune to the condition,寒霜行尸免疫该状态
Reaver Berserker immune to the condition,劫掠者狂战士免疫该状态
Brigand Archer immune to the condition,强盗弓箭手免疫该状态
Brigand Rogue immune to the condition,强盗游荡者免疫该状态
Brigand Swordsman immune to the condition,强盗剑士免疫该状态
Mad Sailor immune to the condition,疯水手免疫该状态
Mad Sailo immune to the condition,疯水手免疫该状态
Guild Magos immune to the condition,公会法师免疫该状态
Guild Mag immune to the condition,公会法师免疫该状态
Wight immune to the condition,尸妖免疫该状态
Feral Clone immune to the condition,野性克隆体免疫该状态
Jester immune to the condition,弄臣免疫该状态
Reaver Brute immune to the condition,掠夺者蛮兵免疫该状态
Reaver Scout immune to the condition,劫掠者侦察兵免疫该状态
Reaver immune to the condition,劫掠者免疫该状态
Reaver Blackguard immune to the condition,劫掠者黑卫免疫该状态
Reaver Mystic immune to the condition,劫掠者秘术师免疫该状态
Cultist immune to the condition,邪教徒免疫该状态
Bobbert the Recruit immune to the condition,新兵博伯特免疫该状态
Wreck Picker immune to the condition,残骸拾荒者免疫该状态
Oleg the Gray immune to the condition,灰发奥列格免疫该状态
Red Kala immune to the condition,红卡菈免疫该状态
The Butcher immune to the condition,屠夫免疫该状态
Snow immune to the condition,斯诺免疫该状态
The Ancient King immune to the condition,古王免疫该状态
Joran the Usurper immune to the condition,篡位者约兰免疫该状态
Baroness immune to the condition,男爵夫人免疫该状态
Handmaid immune to the condition,侍女免疫该状态
Majordomo immune to the condition,大管家免疫该状态
#Combatant immune to the condition,#免疫该状态的战斗单位
{PLAYER} immune to the condition,{PLAYER}免疫该状态
Kat immune to the condition,卡蒂免疫该状态
Roland immune to the condition,罗兰免疫该状态
Driina immune to the condition,德莉娜免疫该状态
Iben immune to the condition,伊本免疫该状态
Iago immune to the condition,伊阿戈免疫该状态
Embla immune to the condition,恩布拉免疫该状态
Giant Bat immune to the condition,巨蝙蝠免疫该状态
Giant Beetle immune to the condition,巨甲虫免疫该状态
Rhino Beetle immune to the condition,犀甲虫免疫该状态
Carrion Crawler immune to the condition,腐尸爬行者免疫该状态
Giant Centipede immune to the condition,巨蜈蚣免疫该状态
Fell Crab immune to the condition,凶煞蟹免疫该状态
Corpse Eater immune to the condition,食尸者免疫该状态
Giant Crab immune to the condition,巨螃蟹免疫该状态
Crab immune to the condition,螃蟹免疫该状态
Rot Crab immune to the condition,腐烂蟹免疫该状态
Spider Crab immune to the condition,蜘蛛蟹免疫该状态
Brood Guard immune to the condition,巢穴守卫免疫该状态
Father immune to the condition,【父亲】免疫该状态
Deep One Priestess immune to the condition,深潜者女祭司免疫该状态
Deep One Queen immune to the condition,深潜者女王免疫该状态
Deep One Warrior immune to the condition,深潜者战士免疫该状态
Devolved immune to the condition,退化者免疫该状态
Ghoul immune to the condition,食尸鬼免疫该状态
Frost Ghoul immune to the condition,寒霜食尸鬼免疫该状态
Giant Gnat immune to the condition,巨型蠓虫免疫该状态
Cave Gnat immune to the condition,洞穴蠓虫免疫该状态
Fell Hog immune to the condition,凶煞野猪免疫该状态
Dire Hound immune to the condition,凶暴野狗免疫该状态
Fell Hound immune to the condition,凶煞野狗免疫该状态
Ice Hound immune to the condition,冰原野狗免疫该状态
Ice Strider immune to the condition,冰上漫步者免疫该状态
Shadow Stalker immune to the condition,暗影猎手免疫该状态
Giant Leech immune to the condition,巨型水蛭免疫该状态
Albino Leech immune to the condition,白化水蛭免疫该状态
Bloodletter immune to the condition,放血者免疫该状态
Fell Lizard immune to the condition,凶煞蜥蜴免疫该状态
Alpha Lizard immune to the condition,阿尔法蜥蜴免疫该状态
Giant Lizard immune to the condition,巨蜥免疫该状态
Ice Salamander immune to the condition,冰火蜥蜴免疫该状态
Mold Child immune to the condition,霉菌幼体免疫该状态
Ooze immune to the condition,软泥怪免疫该状态
Flesh Ooze immune to the condition,血肉软泥怪免疫该状态
Medusa Jelly immune to the condition,美杜莎果冻免疫该状态
Risen Ooze immune to the condition,复生软泥怪免疫该状态
Magma Ooze immune to the condition,岩浆软泥怪免疫该状态
Magmite immune to the condition,岩浆怪免疫该状态
Large Ooze immune to the condition,大型软泥怪免疫该状态
Giant Rat immune to the condition,巨鼠免疫该状态
Dire Rat immune to the condition,凶暴鼠免疫该状态
Chitters-In-Darkness immune to the condition,暗影低语者免疫该状态
Rabid Rat immune to the condition,狂怒鼠免疫该状态
Shade immune to the condition,幽影免疫该状态
Dire Serpent immune to the condition,凶暴蛇免疫该状态
Fell Serpent immune to the condition,凶煞蛇免疫该状态
Giant Snake immune to the condition,巨蛇免疫该状态
Fleshstrider immune to the condition,血肉行者免疫该状态
Flying Polyp immune to the condition,飞天水螅免疫该状态
Dragon's Herald immune to the condition,龙使免疫该状态
Evolved immune to the condition,进化体免疫该状态
Newborne immune to the condition,新生儿免疫该状态
Vessel immune to the condition,容器免疫该状态
Stalker immune to the condition,猎手免疫该状态
Giant Spider immune to the condition,巨蜘蛛免疫该状态
Large Spider immune to the condition,大蜘蛛免疫该状态
Shambler immune to the condition,行尸免疫该状态
Frost Shambler immune to the condition,寒霜行尸免疫该状态
Reaver Berserker immune to the condition,劫掠者狂战士免疫该状态
Brigand Archer immune to the condition,强盗弓箭手免疫该状态
Brigand Rogue immune to the condition,强盗游荡者免疫该状态
Brigand Swordsman immune to the condition,强盗剑士免疫该状态
Mad Sailor immune to the condition,疯水手免疫该状态
Mad Sailo immune to the condition,疯水手免疫该状态
Guild Magos immune to the condition,公会法师免疫该状态
Guild Mag immune to the condition,公会法师免疫该状态
Wight immune to the condition,尸妖免疫该状态
Feral Clone immune to the condition,野性克隆体免疫该状态
Jester immune to the condition,弄臣免疫该状态
Reaver Brute immune to the condition,掠夺者蛮兵免疫该状态
Reaver Scout immune to the condition,劫掠者侦察兵免疫该状态
Reaver immune to the condition,劫掠者免疫该状态
Reaver Blackguard immune to the condition,劫掠者黑卫免疫该状态
Reaver Mystic immune to the condition,劫掠者秘术师免疫该状态
Cultist immune to the condition,邪教徒免疫该状态
Bobbert the Recruit immune to the condition,新兵博伯特免疫该状态
Wreck Picker immune to the condition,残骸拾荒者免疫该状态
Oleg the Gray immune to the condition,灰发奥列格免疫该状态
Red Kala immune to the condition,红卡菈免疫该状态
The Butcher immune to the condition,屠夫免疫该状态
Snow immune to the condition,斯诺免疫该状态
The Ancient King immune to the condition,古王免疫该状态
Joran the Usurper immune to the condition,篡位者约兰免疫该状态
Baroness immune to the condition,男爵夫人免疫该状态
Handmaid immune to the condition,侍女免疫该状态
Majordomo immune to the condition,大管家免疫该状态
#Combatant is occupied!,#战斗单位被占用！
