original,translate
Duelist Master,决斗大师
Duelist Grand-Master,决斗宗师
Mobility Initiate,机动学徒
Mobility Expert,机动专家
Mobility Master,机动大师
Rogue Blade Initiate,游荡剑刃学徒
Rogue Blade Expert,游荡剑刃专家
Rogue Ranged Initiate,游荡远程学徒
Rogue Ranged Expert,游荡远程专家
Survivor Initiate,生存学徒
Survivor Expert,生存专家
Survivor Master,生存大师
Thievery Initiate,盗窃学徒
Thievery Expert,盗窃专家
Thievery Master,盗窃大师
#Wanderer Feats,#漂泊者专长
Nature Spellcasting,自然施法
You gain the ability to learn spells from the Nature School,你获得学习自然法术学派法术的能力
Nature Magic Initiate,自然法术学徒
You may now cast Tier 1 spells of the Nature School,你现在可以施展自然法术学派的1级法术
Nature Magic Expert,自然法术专家
You may now cast Tier 2 spells of the Nature School,你现在可以施展自然法术学派的2级法术
Nature Magic Master,自然法术大师
You may now cast Tier 3 spells of the Nature School,你现在可以施展自然法术学派的3级法术
Nature Magic Grand Master,自然法术宗师
You may now cast Tier 4 spells of the Nature School,你现在可以施展自然法术学派的4级法术
#Warrior Feats,#战士专长
Archery Initiate,箭术学徒
Archery Expert,箭术专家
Archery Master,箭术大师
Arms Mastery,武器精通
Axe Initiate,斧术学徒
Axe Expert,斧术专家
Axe Master,斧术大师
Bred for War,为战而生
Tough as Nails,坚如铁钉
Light Armor Mastery,轻型护甲精通
Medium Armor Mastery,中型护甲精通
Heavy Armor Mastery,重型护甲精通
Calloused Hands,老茧之手
Brutality,残暴
Bloodthirsty,嗜血
Club Initiate,棍术学徒
Club Expert,棍术专家
Club Master,棍术大师
Leadership Initiate,领导学徒
Leadership Expert,领导专家
Leadership Master,领导大师
Leadership Grand-Master,领导宗师
Ranger Initiate,游侠学徒
Ranger Expert,游侠专家
Ranger Master,游侠大师
Shield Initiate,盾术学徒
Shield Expert,盾术专家
Shield Master,盾术大师
Sword Initiate,剑术学徒
Sword Expert,剑术专家
Sword Master,剑术大师
Two-Handed Initiate,双手武器学徒
Two-Handed Expert,双手武器专家
Two-Handed Master,双手武器大师
