original,translate
"He strangled her then and there for if he could not have her, no one would",他当场扼死了她，因为他若不能拥有她，谁也别想
"As the star’s last breath left her, her Sisters began to weep",当那颗星星呼出最后一口气时，她的姐妹们开始哭泣
"In a shower of burning light, their tears fell to the earth where the star lay, immolating the man who had killed her",在一阵燃烧的光雨中，她们的泪水落在那颗星星躺卧的大地上，将杀害她的男人烧成了灰烬
"When dawn finally broke and the stars withdrew, all that was left in their wake was a field of star-shaped flowers",当黎明终于到来，群星隐退时，它们留下的唯有一片星形花朵的田野
Origins of the Sunmouth,《向阳吻的起源》
Sunmouth,向阳吻
This bright fauna was first discovered in the province of Gorremia following one of the worst winters in the region’s history,这种明亮的植物是在该地区历史上最严酷的一个冬天之后，在戈雷米亚省首次发现的
"It is reported that after months of unrelenting snow and ice, the land in this region had become so barren the locals worried new life would never grow from it again",据报道，在持续数月无情的冰雪之后，这片地区的土地变得如此贫瘠，以至于本地人担心新的生命再也无法从中生长出来
"Fearing the worst, a handful of villagers decided to seek out new homes, and set out with heavy hearts to begin the long journey to the temperate Heartlands",担心最坏的情况发生，一小群村民决定去寻找新的家园，怀着沉重的心情踏上了前往气候温和的心脏地带的漫长旅程
"It was at this moment, as the villagers braced themselves to leave their lives behind, that a single ray of sunlight broke through the clouds to light the barren area before them",就在这一刻，当村民们鼓起勇气准备抛弃他们原有的生活时，一缕阳光穿透云层，照亮了他们面前那片贫瘠的土地
"Breaths held, the villagers watched as that sliver of sunlight thawed the icy ground, unveiling the beginnings of a single, yellow bud",村民们屏住呼吸，看着那一缕阳光融化了冰封的地面，显露出一株黄色花苞的雏形
"A bud that, to this day, has only ever been found to grow in areas of direct sunlight",一个直到今天，都只在阳光直射的地方才能被发现生长的花苞
Monk's Journal,修士的日记
We’re working long hours into the night to deal with the recent influx of corpses,我们长时间工作到深夜，以处理最近涌入的大量尸体
What compels these people to act so cruelly?,是什么驱使这些人做出如此残忍的行为？
Yesterday we had the corpse of a young boy of no more than 12 years come in,昨天我们收到了一具不超过12岁的小男孩的尸体
He had been beaten to death by the looks of it,从外表看他是被殴打致死的
"Sacred dead preserve me - were it not for the calling, I’m not sure I would have persevered",神圣的亡者保佑我——若不是因为这份天职，我不确定我是否能坚持下去
A glimmer of light,一丝光明
"Brother Aruun came running up from the crypt, so frightened he had pissed his robes",阿鲁恩修士从墓室跑上来，吓得尿湿了他的长袍
He claimed he saw something move down in the crypt,他声称看到墓室下面有东西在动
Something “unnatural,某种“不自然”的东西
"We laughed till we fell over and by the end, so did he",我们笑得前仰后合，到最后，他也笑了
No doubt he saw one of the rats but it’s funny where the mind wanders when sleep becomes scarce,毫无疑问他看到了某只老鼠，但当睡眠不足时，人的思绪会飘到哪儿去，这很有趣
Something is wrong in the village!,村子里出事了！
They say some kind of riot has broken out,他们说爆发了某种骚乱
Hierophant Leios said Driina has gone to investigate and that we monks should stay in the crypt for our own safety,大祭司莱奥斯说德莉娜已经去调查了，为了我们自己的安全，我们这些修士应该待在墓室里
We try to pass the time with work but I wish we knew what was happening,我们试图用工作打发时间，但我真希望我们知道发生了什么
They came from the lower crypts!,它们从下层墓室来了！
All are dead save me and brother Aruun!,除了我和阿鲁恩修士，所有人都死了！
We have locked ourselves in the storage room,我们把自己锁在了储藏室里
How can this be?,这怎么可能？
How can such abominations walk?,这样的畸形生物怎么能行走？
There is no light in the afterlife!,来世没有光！
Only black stars,只有黑色的星辰
No water,没有水
Aruun did not wake today,阿鲁恩今天没有醒来
I dare not leave this room - I hear them outside,我不敢离开这个房间——我听到它们在外面
I too shall pass,我也将逝去
Black stars beckon,黑色的星辰在召唤
A Ragged Note,破旧的字条
A ragged letter that seems to contain direction of some sort,一封破旧的信，似乎包含某种指示
Enter the sewers from the harbor through the westernmost outlet,从港口通过最西边的排水口进入下水道
Follow the chalk arrows on the wall and make your way east past the central cistern and then south,沿着墙上的粉笔箭头，向东经过中央蓄水池，然后向南
From there you’ll find a stairs going down and into the Rat-Maze,从那里你会找到一段楼梯，向下进入鼠迷宫
"In the maze, go W, S, S, W, W and you’ll find yourself in the Underhalls",在迷宫中，向西，向南，向南，向西，向西，你就会到达地下大厅
Mind your manners while you’re there and be sure to peruse the Black Market,在那里注意你的举止，并且一定要去逛逛黑市
Surgeon's Journal,船医的日记
A journal that was kept by the ship surgeon of the Zephyr,一本由西风号船医保管的日志
Written on the day of departure from the mainland,写于离开大陆的那天
Left Adler's Helm today with a full complement of passengers,今天离开了鹰盔堡，船上载满了乘客
Mercenaries by the looks of it,看起来是雇佣兵
Paid well,报酬丰厚
Ship was dispatched by Guild before we could fully restock medical supplies,我们还没来得及完全补充医疗用品，船就被公会派遣出发了
Hopefully we won't need them,希望我们用不上它们
"Then again, our passengers make me uneasy",不过话说回来，我们的乘客让我感到不安
Written 5 days ago,写于5天前
Brawl in mess - had to set nose,食堂斗殴——不得不去正骨
Men seem on edge,人们似乎很紧张
Can't say I blame them,不能说怪他们
Have been sleeping poorly and dreams are... unsound,一直睡得不好，梦……很不安宁
Written 4 days ago,写于4天前
Igan came to me today with a bite-wound that he sustained whilst working in the hold,伊根今天来找我，他在货舱工作时被咬伤了
Didn't see creature and I would say it was a rat's bite if it weren't for the size and some aspect of the dentition that I find hard to explain properly,没看到是什么生物，如果不是因为伤口的大小和某些我难以解释清楚的齿痕特征，我会说那是老鼠咬的
Written two days ago,写于两天前
Was visited today by navigator Aslam,今天航海长阿斯拉姆来找我
He asked for Whitefern - a sedative,他要白蕨——一种镇静剂
Claimed he had trouble sleeping,声称他难以入睡
"Suspected he was not fully forthcoming and when pushed, he mumbled something about the stars being 'odd'",怀疑他没有完全说实话，在我追问下，他含糊地说了些关于星星变得‘古怪’的话
Not sure what he meant and he left before I could push him further,不确定他是什么意思，我还没来得及进一步追问，他就离开了
Written today,写于今天
Men are about to break,人们快要崩溃了
We cannot maintain our course for Idra,我们无法维持前往伊德拉的航线
Captain advised me today to make ready the surgery and to expect casualties,船长今天通知我准备好手术室，并预计会有伤亡
I suspect he intends to inform our passengers that he refuses to land on the island,我怀疑他打算通知我们的乘客，他拒绝在该岛登陆
If this is my last,如果这是我的最后一篇
The entry trails off,日志内容逐渐消失
Caspar's Journal,卡斯帕的日记
"A small, leather-bound journal filled with neat handwritten notes",一本皮革装订的小日志，写满了整洁的手写笔记
Noted on the inside cover is the name “Caspar of Loral,内封上注明了名字“洛拉尔的卡斯帕”
About a year ago,大约一年前
Arrived today and was met by the man who is to be my overseer,今天抵达，见到了那个将成为我监管者的人
Mathias,马蒂亚斯
He seemed nice enough albeit eccentric,他看起来足够友善，尽管有些古怪
Is this to be my fate as well?,这也将是我的命运吗？
"Woe to me that my wretched life and poor choices has landed me, Caspar of Loral, on this barren rock as the keeper of lights",我真是不幸啊，我悲惨的生活和糟糕的选择，竟让我，洛拉尔的卡斯帕，来到这块不毛之地上做守灯人
About six months ago,大约六个月前
Saw lights on the shore near the cave entrance,在洞穴入口附近的海岸上看到了光
Smugglers Mathias say,马蒂亚斯说是走私者
"He insists we leave them alone and I am forced to abide, though my mind wanders often to that cave and what may lay within",他坚持要我们别管他们，我被迫服从，尽管我的思绪常常飘向那个洞穴以及里面可能藏着的东西
About a month ago,大约一个月前
I cannot take it any more!,我再也受不了了！
The old bastard is driving me mad!,那个老混蛋快把我逼疯了！
He spies on me and gives me strange looks,他监视我，还用奇怪的眼神看我
And I’m sure he goes through my things!,而且我敢肯定他翻过我的东西！
I went for a walk to clear my head and I ended up by the entrance to the sea-cave,我出去散步想清醒一下头脑，结果走到了海蚀洞窟的入口
Something is calling me there,那里有什么东西在召唤我
I hear it even in my sleep,我甚至在睡梦中也能听到
About a week before your arrival in Idra,大约在你抵达伊德拉的一周前
Dreams driving me mad!,梦快把我逼疯了！
Always it calls me to the caves,它总是召唤我去那些洞穴
To the deeper dark that lies beneath where no man has tread for eons,去往那下方更深层的黑暗，那亘古以来无人踏足之地
The looking stone and the ancient sleepers,那窥视之石与远古的沉睡者
The blade calls me,那刀剑在召唤我
I can take no more,我再也无法忍受了
Smuggler's Journal,走私者的日记
A small leather-bound book,一本皮革装订的小书
I hate these jobs,我讨厌这些活儿
Dropped off and told to guard the cargo until it can be collected,被放下船，被告知要守着货物直到有人来取
And whilst the bastards up in the northern cave are living the good life I’m stuck in this hole,当北边洞穴里的那些混蛋过着好日子时，我却困在这个洞里
I sometimes think the Imperial dungeons would be preferable,我有时觉得帝国的地牢都比这儿强
We explored the cave today and found what appears to be an underwater tunnel in one of the dead-ends,我们今天探索了洞穴，在其中一个死胡同里发现了一条看起来像是水下隧道的东西
Bryn insisted we try to swim it but I can think of no worse nightmare than being lost in the dark underwater,布林坚持要我们试着游过去，但我想不出比在黑暗的水下迷路更可怕的噩梦了
I told him as much and he got agitated,我把这话告诉了他，他变得焦躁不安
Yelled something about dreaming of an ancient relic,喊了些什么梦到一件古代遗物的话
I have no idea what he’s on about,我完全不知道他在说什么
Golden dead!,黄金亡者啊！
Bryn got attacked by a crab the size of a warhound today!,布林今天被一只战犬那么大的螃蟹袭击了！
Nearly took his leg off!,差点把他的腿给弄断了！
Neither of us have seen anything like it before and we can only pray it was alone!,我们俩以前都没见过这样的东西，只能祈祷它是独自一只！
Hope the ship won't be delayed much longer,希望船不会再延误太久了
Bryn is gone,布林不见了
I know in my heart he’s gone to the underwater tunnel,我内心深处知道他去了那条水下隧道
Madness!,疯了！
Shapes are moving in the dark now,现在黑暗中有影子在移动
No way out and no one is coming for me!,没有出路，也没有人会来救我！
Light is failing,光正在消逝
Mother,母亲
Marita's Cookbook,玛丽塔的食谱
A humble cookbook,一本朴素的食谱
Potatoes - Carrots - Leeks,土豆 - 胡萝卜 - 韭葱
All of the above can be found growing in our field,以上所有都可以在我们的田地里找到
x Eggs - Potatoes - Onions,x 鸡蛋 - 土豆 - 洋葱
Sea bird eggs will do just fine,海鸟蛋就很好
Onions grow wild in abundance,洋葱大量野生
Cabal Journal,秘盟的日记
A journal that appears to have been written by one of the members of the Cabal expedition,一本似乎是由秘盟考察队一名成员所写的日志
This one was found in the base-camp,这本是在大本营找到的
ENTRY,条目
We’ve finally arrived at the Priory and found it in shockingly good condition,我们终于抵达了修道院，发现它的状况好得惊人
It’s as if time has stood still here,仿佛时间在这里静止了
The initial survey does not reveal a clear means of accessing the lower level but I’m confident we’ll find a way given enough time,初步勘查没有发现进入下层的明确途径，但我相信只要有足够的时间，我们会找到办法的
This place boggles the mind,这个地方令人难以想象
It appears to stand as it was left millennia ago,它似乎保持着数千年前被遗弃时的样子
How it could have slipped so well out of time and history is truly a mystery to me,它怎么能如此彻底地脱离时间和历史，对我来说真是个谜
As is the fate of the Priory’s original occupants,修道院原住民的命运也是如此
Still no success in finding the door to the catacombs,寻找地下墓穴之门仍未成功
I can only conclude it’s somehow concealed,我只能断定它被以某种方式隐藏起来了
"We did, however, make an interesting discovery",不过，我们确实有了一个有趣的发现
The four statues on the “pilgrim’s road” can be rotated,“朝圣之路”上的四尊雕像可以旋转
I’m certain this is somehow significant!,我确信这在某种程度上意义重大！
Some form of disease is spreading amongst the men,某种疾病正在队员中传播
Abdominal pain and swelling combined with fevers,腹痛和肿胀，并伴有发热
Our apothecary is so far at a loss at curing it but suggests that proximity to the fungal growths that started sprouting is a potential vector of infection,我们的药剂师至今仍无法治愈它，但提出靠近那些开始萌发的真菌生长物是潜在的感染媒介
I’ve ordered that masks be worn near the growths,我已下令在那些生长物附近必须佩戴口罩
A breakthrough,一个突破
We found a document in the scriptorium with a verse on it!,我们在缮写室找到了一份带有韵文的文件！
It’s so clear now,现在一切都清晰了
The portal had been hidden in plain sight all along - all it took to open it was the correct configuration of the statues!,那传送门一直就隐藏在显眼之处——打开它只需要将雕像调整到正确的排列！
The dreaming halls await!,梦境大厅在等待着！
A journal that appears to have been written by one of the members of the Cabal expedition that was dispatched to the Priory,一本似乎是由被派往修道院的秘盟考察队一名成员所写的日志
This one was found on a cocooned corpse in the catacombs,这本是在地下墓穴中一具被茧包裹的尸体上找到的
We entered the ‘Dreaming Hall’ today,我们今天进入了‘梦境大厅’
I’m awestruck by the mystery of it all,我对这一切的神秘感到敬畏
What secrets did the Sleeper whisper to the monks as they dreamed?,当修士们做梦时，沉睡者向他们低语了什么秘密？
We must push on and soon enough we too shall stand before his timeless glory,我们必须继续前进，很快我们也将站在他永恒的荣耀面前
"By the Maiden’s, we found it!",以圣女之名，我们找到了！
The tomb in all its glory,那墓穴的壮丽全貌
We lost two members to traps trying to enter the room but it’s only a matter of time now,我们在试图进入房间时因陷阱失去了两名成员，但现在只是时间问题了
This is a disaster!,这是一场灾难！
I know there is something here - calling for us!,我知道这里有东西——在召唤我们！
There must be some other way?,一定还有别的路吧？
Several pages are ruined from the fungal infection,有几页被真菌感染毁坏了
to move in and out of the caves and continue excavating the Eternity Gate,进出洞穴并继续挖掘永恒之门
My greatest concern at this point is the rate at which we are losing crew to suicides and infection,此刻我最担心的是我们因自杀和感染而损失队员的速度
I saw them change before my very eyes!,我亲眼看着他们在我眼前变化！
"Oh, blessed Maidens I may have escaped for now but I cannot escape the images that now haunt me",哦，圣洁的圣女们，我或许暂时逃脱了，但我无法摆脱现在萦绕我的那些景象
"What’s worse, the entire complex is somehow resealing itself and I’m trapped between the false tomb and the surface level",更糟的是，整个建筑群正在以某种方式自我封闭，我被困在了假墓和地表层之间
I can only pray someone is left alive topside to open the gate,我只能祈祷上面还有人活着来打开大门
This one was found on a corpse in the catacombs,这本是在地下墓穴的一具尸体上找到的
They’ve found the secret passage to some kind of cave below the false tomb,他们找到了通往假墓下方某个洞穴的秘密通道
Something far older than the Priory itself,比修道院本身还要古老得多的东西
Older than the Empire even is the talk around camp,甚至比帝国还要古老，营地里都这么传
I just wish my insides didn’t hurt as much,我只希望我的肚子别那么疼
They’re sending me down with the next shipment of tools,他们要派我带着下一批工具下去
That means passing the ‘night-maze’,那意味着要穿过‘黑夜迷宫’
They say it can’t be lit even by magical lighting,他们说那里甚至无法被魔法照明点亮
I hate the dark,我讨厌黑暗
Apparently it’s easy enough to navigate if you know how,显然，如果知道走法，通过那里相当容易
South until you hit the first wall and then west until wall - north until wall - west until wall - north until wall - west until wall - then north and you’re there,向南直到碰到第一面墙，然后向西直到墙——向北直到墙——向西直到墙——向北直到墙——向西直到墙——然后向北，你就到了
I went all the way to the sanctum this time,这次我一路走到了圣所
By the Golden how I wish I had not,以黄金之神的名义，我真希望我没有去
How can such a thing be?,怎么会有这样的东西？
The writing becomes rushed,字迹变得潦草
Hear screams below,听到下面有尖叫声
Something is wrong,出事了
Save us!,救救我们！
#Adventuring Items,#冒险物品
Crowbar,撬棍
An iron crowbar,一根铁撬棍
Perfect for breaking and entering,非常适合破门而入
Lantern,提灯
A small lantern,一盏小提灯
Press 'T' to equip it whilst exploring,探索时按“T”键装备它
Thieves' Tools,盗贼工具
Tools used for lockpicking,用于撬锁的工具
You lose a few each time you pick a lock so take care to gather a supply,每次撬锁都会损失一些，所以注意收集储备
Pickaxe,镐子
A pickeaxe used for mining,一把用于采矿的镐子
In the right hands it could be used as a weapon,在合适的人手中，它也可以用作武器
Rope,绳索
A 20-foot coil of hemp rope,一卷20英尺长的麻绳
Indispensable for spelunkers and mountaineers,洞穴探险者和登山者不可或缺
