original,translate
Gallian’s Ascension (GA) is used today as the start of the modern Imperial Calendar,伽里安升天（GA）如今被用作现代帝国历法的起点
Gradla,格拉德拉
"The northernmost island of the Outer Isles, Gradla is cold and barren",外岛群最北端的岛屿，格拉德拉寒冷而贫瘠
"It’s sparsely settled and legend has it, it’s the site of the ruined monastery known as the Black Priory",此地人烟稀少，传说中，它是那座被称为黑修院的废墟修道院所在地
The only main settlement on Gradla is Adler's Helm,格拉德拉岛上唯一的主要据点是鹰盔堡
Horryn,霍林
A once prosperpus port and fishing village on the island of Idra,伊德拉岛上曾经繁荣的港口与渔村
Hyalomancers,琉璃术士
Hyalomancers are Imperial magi specializing in the crafting of glass,琉璃术士是专精于玻璃制作的帝国法师
Idra,伊德拉
The main island of the Outer Isles,外岛群的主岛
Its main settlement is the port of Horryn,其主要据点是霍林港
The Outer Isles,外岛群
A North-Easterly archipelago that serves as a mid-way point between the Gallian Empire and its colonies,位于东北方的群岛，是伽里安帝国与其殖民地之间的中转站
Its main port is located on the island of Idra,其主要港口位于伊德拉岛上
Reticulum,魔网
The field of arcane energies that surrounds the planet of Warda,环绕沃尔达星球的奥术能量场
The Reticulum is the source of all power for the Imperial Magi,魔网是帝国法师所有力量的源泉
Sepulchites,葬仪修会
An Imperial religious order tasked with caring for the dead,一个受命照料死者的帝国宗教组织
Sylver,银辉金
A rare metal with strong reticular properties,一种具有强大魔网特性的稀有金属
Used in the construction of arcane machinery and artifacts,用于制造奥术机械与神器
Vauul,瓦乌尔
Vauul is the Imperial capital and seat of the Magi-Emperors,瓦乌尔是帝国首都及魔法皇帝的宝座所在地
Warda,沃尔达
The planet upon which you find yourself,你所在的星球
Noticeable for the presence of the Reticulum,因魔网的存在而引人注目
The dominant ruling power is the Gallian Empire,占主导地位的统治力量是伽里安帝国
#Rules,#规则
Simulates rolling and adding up two six-sided dice,模拟掷两个六面骰并相加
In other words a 2d6 roll generates a number between 2 and,换句话说，一次2d6掷骰会生成一个介于2到之间的数字
Accuracy,命中
Accuracy is added to an attacker’s Attack Roll when trying to hit an opponent,命中在攻击者尝试击中对手时加到攻击者的攻击检定上
Accuracy is typically derived from a weapon’s quality,命中通常来源于武器的品质
Armor Piercing,护甲穿透
An attack that is Armor Piercing ignores the target’s Soak value,具有护甲穿透的攻击会忽略目标的减伤值
This means that the damage is not reduced by armor,这意味着伤害不会被护甲减免
Attack Roll,攻击检定
The Attack Roll is calulated in the following way,攻击检定按以下方式计算
2d6 + Melee To Hit / Ranged To Hit + Misc,2d6 + 近战命中 / 远程命中 + 杂项
Bonuses + Accuracy Bonuses,加成 + 命中加成
Attunement per Level,每级魔谐力
"Indicates how much of the game’s Magic resource, Attunement, is gained every time the character levels up",表示角色每次升级时获得多少游戏中的魔法资源——魔谐力
Backstab,背刺
A character that has activated the Ability to Backstab will automatically perform Backstabbing Attacks against opponents that are either Flanked or Vulnerable,激活了背刺能力的角色会自动对被夹击或易伤的对手发动背刺攻击
A successful Backstab Attack adds the character’s Backstab Bonus Multiplied by the Weapon’s Crit Modifier to the damage roll,成功的背刺攻击会将角色的背刺加成乘以武器的暴击修正加到伤害掷骰上
Cascade,连锁
Each spell has a Cascade Difficulty,每个法术都有一个连锁难度
"When casting a spell, the caster tests their Spell Aptitude test against the Cascade Difficulty of the spell",施放法术时，施法者用其法术资质检定对抗该法术的连锁难度
"If they succeed, they get to take another action",如果成功，他们可以再进行一个动作
If they fail their turn ends,如果失败，他们的回合结束
This allows casters to chain spells together,这允许施法者将法术串联起来
A caster can cascade a number of spells together equal to their Max Cascade attribute,施法者可以连锁施放的法术数量等于其最大连携施法数属性
Charging,冲锋
Moving at least 2 tiles in a straight line before performing an attack allows characters with a Melee weapon to perform a Charge Attack,在攻击前沿直线移动至少2格，允许持有近战武器的角色发动冲锋攻击
Charge attacks add a bonus to your hit chance depending on how far you manage to move before attacking,冲锋攻击会根据你在攻击前移动的距离为你的命中几率提供加成
Critical Hit,暴击
"For each successful Attack, there is a chance the Hit is upgraded to a Critical Hit",每次成功的攻击，都有一定几率将命中升级为暴击
This is a percentage chance equal to the attacker’s Crit Chance Attribute,这个百分比几率等于攻击者的暴击几率属性
"If a Critical Hit is confirmed, the Damage dealt is multiplied by the Weapon’s Crit. value",如果暴击确认，造成的伤害会乘以武器的暴击值
"For instance a Weapon with a Crit. value of, multiplies the Damage dealt in a Critical Hit by",例如，一把暴击值为的武器，在暴击时造成的伤害乘以
Defence Roll,防御检定
The Defence Roll is,防御检定是
2d6 + Misc Bonuses + Dodge,2d6 + 其他加成 + 闪避
Development Points,发展点数
Development Points are gained when leveling up and used to buy ranks in Feats,发展点数在升级时获得，用于购买专长等级
This unlocks new Abilities for the Character making them more powerful,这会为角色解锁新能力，使其更加强大
Difficulty,难度
The Difficulty Class or DC of a test is the number a character must roll equal to or higher than to succeed,检定的难度等级（DC）是角色必须掷出等于或高于该数值才能成功的数字
Disengage,脱离
"If a character who is within melee range of an active opponent tries to move away, they Disengage",如果一名角色在活跃对手的近战范围内试图移动离开，他们会进行脱离
Normally this means the Disengaging character immediately ends their turn,通常这意味着进行脱离的角色会立即结束其回合
Enc,负重
Encumbrance,负重
Encumbrance is a measure of how much your armor and equipment reduces your ability to act freely,负重衡量你的护甲和装备在多大程度上限制了你自由行动的能力
Different item slots affect different skills,不同的物品栏位影响不同的技能
"Armor affects Dodge, Stealth and Athletics",护甲影响闪避、潜行和运动
Headwear and helmets affect Awareness,帽子和头盔影响察觉
Gloves affect Thievery,手套影响偷窃
Footwear affects Stealth,鞋靴影响潜行
"Examine the different Attributes under the ‘Attributes’ tab to see if, and how much they are being affected by items worn",检查“属性”标签下的不同属性，以查看它们是否以及被穿戴的物品影响了多少
Flanking,侧袭
A character can be Flanked if opponents occupy the tile above and below it or to the left and right of it,如果对手占据了角色上方和下方或左侧和右侧的格子，该角色就会被夹击
Attacking a Flanked target allows the Attacker to add their Flanking Bonus to the Attack Roll,攻击被夹击的目标允许攻击者将其包抄加值加到攻击检定上
Rogues may Backstab Flanked Characters,游荡者可以背刺被夹击的角色
Initiative Order,先攻顺序
Every Combat Encounter begins with all combatants making an Initiative Roll,每次战斗遭遇开始时，所有战斗参与者都要进行一次先攻检定
This is calculated by adding 2d6 to the character’s Initiative Attribute,这是通过将2d6加到角色的先攻属性上来计算的
Characters then act in descending order of initiative,然后角色按照先攻值从高到低的顺序行动
Characters who are not alert as combat begins gain a severe penalty to their Initiative Roll,战斗开始时未警觉的角色会在其先攻检定上受到严重惩罚
Main Attribute,主属性
The Main Attribute is the Attribute that is the most important for this Class,主属性是对该职业最重要的属性
Saving Throw,豁免检定
A Saving Throw is a roll using an Attribute against some Difficulty number to avoid receiving or canceling some ongoing negative effect,豁免检定是使用某项属性对抗某个难度数值的掷骰，以避免受到或取消某个持续的负面效果
Silenced,沉默
"A character with this status tag cannot use, or be affected by, Abilities or Spells that require them to be able to speak",带有此状态标签的角色无法使用或受到需要说话的能力或法术的影响
Soak,减伤
Soak is a measure of damage absorption,减伤是伤害吸收的度量
It is usually conferred by Armor,它通常由护甲提供
Some creatures also have natural Soak due to thick hides,一些生物也因厚皮而拥有天生减伤
"For every physical attack scored on the character, the damage is reduced by a random amount ranging from 0 to the character’s combined Soak",对于角色受到的每次物理攻击，伤害会减少一个随机数值，范围从0到角色的总减伤值
See also,另见
Spell Tier,法术阶位
"By studying different Schools of Spellcasting, a character gains Spell Tiers in that School",通过学习不同的施法学派，角色会在该学派中获得法术阶位
Spell Tiers qualify a character to learn spells and different spells have different Tier requirements,法术阶位使角色有资格学习法术，不同的法术有不同的阶位要求
Status Tags,状态标签
Status Tags are conferred by Conditions and used by the system to dictate player behavior,状态标签由状态赋予，并被系统用来决定玩家行为
Afraid,恐惧
Characters who are afraid are more susceptible to panicking,恐惧的角色更容易陷入恐慌
Asleep,睡眠
A character with this status tag is Vulnerable and does not act during their combat turn,带有此状态标签的角色处于易伤状态，且在其战斗回合中不行动
Sleeping characters are much easier to sneak past and surprise,睡眠中的角色更容易被潜行绕过和突袭
Bleeding,流血
A character with this status tag will take a random amount of damage at the start of each turn ranging from 1 to 10% of their Maximum Vitality until the Bleeding is stopped,带有此状态标签的角色会在每个回合开始时受到随机伤害，数值为其最大体力的1%到10%，直到流血被止住
Blindness,目盲
"A character with this status tag cannot use, or be affected by, Abilities or Spells that require them to see",带有此状态标签的角色无法使用或受到需要视力的能力或法术的影响
Charmed,魅惑
A character with this status tag does not act during their turn,带有此状态标签的角色在其回合中不行动
Confusion,困惑
Deafness,耳聋
"A character with this status tag cannot use, or be affected by, Abilities or Spells that require them to hear",带有此状态标签的角色无法使用或受到需要听力的能力或法术的影响
Defenceless,无防备
A Status Tag indicating that the character cannot defend themselves,表示角色无法自卫的状态标签
A Defenseless character is Vulnerable,无防备的角色处于易伤状态
Defending,防御
A Status Tag indicating that the character spends their entire combat turn fighting defensively,表示角色在整个战斗回合中都进行防御性战斗的状态标签
They take no other actions and add their Defend Bonus attribute to their Dodge Attribute when making Defence Rolls,他们不进行其他动作，并在进行防御检定时将其防御加值属性加到闪避属性上
Disease,疾病
A Status Tag indicating that the character is affected by one or more diseases,表示角色受到一种或多种疾病影响的状态标签
FlatFooted,措手不及
A Status Tag indicating that the character is off their guard,表示角色失去警惕的状态标签
As such they are Vulnerable,因此他们处于易伤状态
Immobile,定身
A Status Tag indicating that the character cannot move around,表示角色无法移动的状态标签
They may still be able to take other actions and fight but are nonetheless Vulnerable,他们可能仍能进行其他动作和战斗，但仍然处于易伤状态
Insanity,疯狂
A character with this status tag does not act in their combat turn,带有此状态标签的角色在其战斗回合中不行动
Intoxicated,醉酒
A Status Tag indicating that the character has become #Intoxicated by drugs or alcohol,表示角色因药物或酒精而#醉酒的状态标签
Invisible,隐形
A character with this status tag will not be spotted until they attack an opponent or use a spell or ability,带有此状态标签的角色在攻击对手或使用法术或能力之前不会被发现
Marked,标记
This status tag typically interacts with other abilities,此状态标签通常与其他能力互动
Occupied,忙碌
A Status Tag indicating that the character is not able to act during their combat turn,表示角色在其战斗回合中无法行动的状态标签
Paralysis,麻痹
A Status Tag indicating that the character is unable to move or act in any way,表示角色无法以任何方式移动或行动的状态标签
"While in this state, they are Vulnerable",处于此状态时，他们易伤
Poison,中毒
A character with this status tag will take a random amount of damage at the start of each turn ranging from 1 to 10% of their Maximum Vitality until the Poisoning is cured,带有此状态标签的角色会在每个回合开始时受到随机伤害，数值为其最大体力的1%到10%，直到中毒被治愈
Stun,击晕
A character with this status tag cannot act during their combat turn,带有此状态标签的角色在其战斗回合中无法行动
They are also vulnerable for the duration,在持续时间内他们也处于易伤状态
To-Hit Roll,命中掷骰
The To-Hit roll is made by comparing the Attacker’s Attack Roll to the Defender’s Defence Roll,命中掷骰是通过比较攻击者的攻击检定与防御者的防御检定来进行的
If the Attacker rolls equal to or higher than the Defence Roll the attack is a hit,如果攻击者掷出等于或高于防御检定的结果，则攻击命中
Tough,坚韧
Short for Toughness,坚韧的简称
Vitality per Level,每级生命值
"Indicates how much of the game’s Hitpoint resource, Vitality, is gained every time the character levels up",表示角色每次升级时获得多少游戏中的生命值资源——体力
Vulnerable,易伤
A Vulnerable character cannot defend themselves,易伤的角色无法自卫
This makes them much easier to hit and it also means they can be Backstabbed,这使他们更容易被击中，也意味着他们可以被背刺
Will,意志
See Willpower,见意志
Targets the character themself,以施法者自身为目标
Targets any ally adjacent to the caster,以施法者相邻的任意同伴为目标
Targets any opponent adjacent to the caster,以施法者相邻的任意对手为目标
Targets any opponent or ally adjacent to the caster,以施法者相邻的任意对手或同伴为目标
Targets any ally anywhere on the battlefield,以战场上任意位置的同伴为目标
Targets all allies in the Line target area,以直线目标区域内的所有同伴为目标
Targets all opponents in the Line target area,以直线目标区域内的所有对手为目标
Targets all opponents and allies in the Line target area,以直线目标区域内的所有对手和同伴为目标
Targets all allies in the Sphere target area,以球形目标区域内的所有同伴为目标
Targets all opponents in the Sphere target area,以球形目标区域内的所有对手为目标
Targets all opponents and allies in the Sphere target area,以球形目标区域内的所有对手和同伴为目标
Targets all allies in the Aura target area,以光环目标区域内的所有同伴为目标
Targets all opponents in the Aura target area,以光环目标区域内的所有对手为目标
Targets all opponents and allies in the Aura target area,以光环目标区域内的所有对手和同伴为目标
Targets all allies in the Cone target area,以锥形目标区域内的所有同伴为目标
Targets all opponents in the Cone target area,以锥形目标区域内的所有对手为目标
Targets all opponents and allies in the Cone target area,以锥形目标区域内的所有对手和同伴为目标
Targets any opponent anywhere on the battlefield,以战场上任意位置的对手为目标
Targets all allies on the battlefield,以战场上的所有同伴为目标
Targets all opponents on the battlefield,以战场上的所有对手为目标
Targets all opponents and allies on the battlefield,以战场上的所有对手和同伴为目标
Targets any opponent or ally anywhere on the battlefield,以战场上任意位置的对手或同伴为目标
Targets any tile anywhere on the battlefield,以战场上任意位置的格子为目标
Maneuver,战技
Positive Condition,正面状态
Lasts until end of turn,持续至回合结束
Lasts until end of combat,持续至战斗结束
FullRound,整轮动作
Executes an Attack,执行一次攻击
If the Attack is successful the following effects target the opponent,如果攻击成功，以下效果以对手为目标
If the Attack is successful the following effects trigger and target all opponents in the target area,如果攻击成功，以下效果触发并以目标区域内的所有对手为目标
Executes an Attack with +4 Accuracy,执行一次命中+4的攻击
Executes an Attack that is Armor Piercing,执行一次具有护甲穿透的攻击
Summons one of the following creatures in each target area tile,在目标区域的每个格子上召唤以下生物之一
