original,translate
"If this number is greater than zero, the system will reroll any of the player's Combat dice rolls (such as Attack Rolls or Defence Rolls) that many times and pick the most favorable one to the player",如果此数值大于零，系统将对玩家的任何战斗骰子掷骰（如攻击检定或防御检定）重掷该次数，并选取对玩家最有利的结果
P. DMG. REROLLS,玩家伤害重掷
"If this number is greater than zero, the system will reroll any of the player's damage dice rolls that many times and pick the most favorable one to the player",如果此数值大于零，系统将对玩家的任何伤害骰子掷骰重掷该次数，并选取对玩家最有利的结果
ENEMY REROLLS,敌人重掷
"If this number is greater than zero, the system will reroll any of the enemy's Combat dice rolls (such as Attack Rolls or Defence Rolls) that many times and pick the most favorable one to the enemy",如果此数值大于零，系统将对敌人的任何战斗骰子掷骰（如攻击检定或防御检定）重掷该次数，并选取对敌人最有利的结果
E. DMG. REROLLS,敌人伤害重掷
"If this number is greater than zero, the system will reroll any of the enemy's damage dice rolls that many times and pick the most favorable one to the enemy",如果此数值大于零，系统将对敌人的任何伤害骰子掷骰重掷该次数，并选取对敌人最有利的结果
MISS SMOOTHENING,失手平滑
The degree to which the engine compensates player miss streaks by increasing To-Hit chances,引擎通过增加命中掷骰几率来补偿玩家连续失手的程度
Ignore Food,忽略食物
COMBAT HEAL,战斗治疗
"If Enabled, the party will heal fully after each combat",如果启用，队伍将在每次战斗后完全恢复
No Trash Mobs,无杂兵
NO ENCUMB,无负重
"If Enabled, the party has no limit to carrying capacity",如果启用，队伍没有负重上限
CANNOT DIE,不会死亡
"If Enabled, the main PC can never die in combat",如果启用，主角在战斗中永远不会死亡
XP FOR KO CHAR,击倒角色经验值
"If Enabled, XP will also be given to downed characters after combat",如果启用，战斗后经验值也会给予被击倒的角色
IGNORE FOOD,忽略食物
"If Enabled, the party does not need to consume food",如果启用，队伍不需要消耗食物
NO TRASH MOBS,无杂兵
"If Enabled, the party will not encounter 'trash mob' encounters on the overland map",如果启用，队伍在大地图上不会遭遇“杂兵”遭遇战
TO-HIT ROLL,命中掷骰
Concept,概念
The To-Hit roll is made by comparing the Attacker's Attack Roll to the Defender's Defence Roll,命中掷骰是通过比较攻击者的攻击检定与防御者的防御检定来进行的
If the Attacker rolls equal to or higher than the Defence Roll the attack is a hit,如果攻击者掷骰结果等于或高于防御检定，则攻击命中
ATTACK ROLL,攻击检定
The Attack Roll is calulated in the following way,攻击检定按以下方式计算
2d6 + Melee To Hit / Ranged To Hit + Misc,2d6 + 近战命中 / 远程命中 + 杂项
Bonuses + Accuracy Bonuses,加成 + 命中加成
2D6,2D6
Simulates rolling and adding up two six-sided dice,模拟掷两个六面骰并相加
In other words a 2d6 roll generates a number between 2 and,换句话说，2d6掷骰生成一个介于2和12之间的数字
DEFENCE ROLL,防御检定
The Defence Roll is,防御检定是
2d6 + Misc Bonuses + Dodge,2d6 + 其他加成 + 闪避
Attribute - Defence,属性 - 防御
The ability to avoid incoming attacks and other reflex-based dangers,避免即将到来的攻击和其他基于反应的危险的能力
"In other words, this determines how hard a character is to hit",换句话说，这决定了角色被击中的难度
MELEE TO HIT,近战命中
Attribute - Combat,属性 - 战斗
The character's skill at attacking with melee weapons,角色使用近战武器攻击的技能
Determines hit chance,决定命中几率
RANGED TO HIT,远程命中
The characters skill at attacking with ranged weapons,角色使用远程武器攻击的技能
ACCURACY,命中
Accuracy is added to an attacker's Attack Roll when trying to hit an opponent,命中在攻击者试图击中对手时加到攻击者的攻击检定上
Accuracy is typically derived from a weapon's quality,命中通常来源于武器的品质
CRT Filter,CRT滤镜
Screen Mode,屏幕模式
Windowed Mode Scale,窗口模式缩放
VSync,垂直同步
Classic Console,经典控制台
Fancy Lighting,高级光照
Weather Effects,天气效果
Screen Shaking,屏幕震动
Full,全屏
Off,关闭
Display Settings,显示设置
CRT FILTER,CRT滤镜
Activating this filter gives the game a fuzzy retro look,激活此滤镜会给游戏带来模糊的复古外观
Soft,柔和
Classic,经典
High-End,高端
Arcade,游戏厅
Kitchen TV,厨房电视
Mini CRT,迷你CRT
Old TV,老电视
Broken B/W,破损黑白
SCREEN MODE,屏幕模式
Allows the game to be played in full screen or windowed mode,允许游戏以全屏或窗口模式运行
WINDOWED MODE SCALE,窗口模式缩放
The scale of the window when run in Window mode,窗口模式下运行时的窗口缩放比例
VSYNC,垂直同步
VSync prevents artifacts such as screen tearing,垂直同步可防止屏幕撕裂等伪影
CLASSIC CONSOLE,经典控制台
The console uses the classic C64 color theme,控制台使用经典的C64颜色主题
FANCY LIGHTING,高级光照
If enabled it will use the game�s blended lighting system,如果启用，将使用游戏的混合光照系统
This is the intended experience,这是预期的体验
This feature should only be disabled if you experience performance issues,仅当遇到性能问题时才应禁用此功能
WEATHER EFFECTS,天气效果
If enabled the game will render weather effects like fog and rain,如果启用，游戏将渲染雾和雨等天气效果
Disabling this option may increase performance,禁用此选项可能会提高性能
SCREEN SHAKING,屏幕震动
Whether or not to allow the screen-shake visual effect,是否允许屏幕震动视觉效果
Windowed,窗口化
Music Volume,音乐音量
Sound FX Volume,音效音量
Audio Settings,音频设置
MUSIC VOLUME,音乐音量
The volume of the soundtrack,原声音乐的音量
SOUND FX VOLUME,音效音量
The volume of the sound effects,音效的音量
Re-Assign,重新分配
Key Bindings,按键绑定
Spellbook,法术书
SPELLBOOK,法术书
This binding can be changed,此绑定可以更改
Character Sheet,角色栏
Console,控制台
Tab,标签
Feats,专长
Feedback,反馈
Hide,潜行
LeftCont,左Ctrl键
Highlight,高亮
LeftShif,左Shift键
Inventory,背包
Level Up,升级
Light Torch,点亮提灯
Move E,向东移动
RightArr,右方向键
Move N,向北移动
UpArrow,上箭头
Move S,向南移动
DownArro,下箭头
Move W,向西移动
LeftArro,左方向键
Next Character,下一个角色
Quests,任务
Quick Load,快速读取
Quick Save,快速保存
QUICK SAVE,快速保存
QUICK LOAD,快速读取
QUESTS,任务
MOVE W,向西移动
LEFTARRO,左方向键
NEXT CHARACTER,下一个角色
MOVE S,向南移动
DOWNARRO,下箭头
MOVE N,向北移动
UPARROW,上箭头
MOVE E,向东移动
RIGHTARR,右方向键
LIGHT TORCH,点亮提灯
LEVEL UP,升级
INVENTORY,背包
HIGHLIGHT,高亮
LEFTSHIF,左Shift键
HIDE,潜行
LEFTCONT,左Ctrl键
FEEDBACK,反馈
FEATS,专长
CONSOLE,控制台
TAB,标签
CHARACTER SHEET,角色栏
Assigning key,分配按键
"Press ENTER or ""Re-Assign"" when done!",完成后按回车键或“重新分配”！
Enter new key,输入新按键
Components,组件
Description Font,描述字体
Description Color,描述颜色
Quote Color,引文颜色
Description Shadow,描述阴影
Draw Outline,绘制轮廓
Text Background Color,文本背景色
Font,字体
Color,颜色
Font Settings,字体设置
DESCRIPTION FONT,描述字体
The font used for most descriptions,大多数描述使用的字体
�This is what a quote looks like.�,“这就是引文的样子。”
DESCRIPTION COLOR,描述颜色
The color of the main descriptive text,主要描述文本的颜色
QUOTE COLOR,引文颜色
The color of the main descriptive text that is displayed in quotation marks,以引号显示的主要描述文本的颜色
DESCRIPTION SHADOW,描述阴影
The color of the main descriptive text's drop-down shadow,主要描述文本下拉阴影的颜色
DRAW OUTLINE,绘制轮廓
Draws an outline around the letters instead of a drop-down shadow,在字母周围绘制轮廓而非下拉阴影
TEXT BACKGROUND COLOR,文本背景色
The color of certain UI-elements behind text,文本后方某些UI元素的颜色
Adjust this to increase the contrast between text and background,调整此项以增加文本与背景之间的对比度
Dark,暗色
Black,黑色
Launch,启动
Get More Content,获取更多内容
Back,返回
empty,空
Load Module,载入模组
LOAD,加载
Copy,复制
Rename,重命名
Delete,删除
Load Game,载入游戏
AUTO_SAVE,自动保存
Save Date,保存日期
Save Time,保存时间
Main Char,主角
Rigurt,Rigurt
Level,等级
Map,地图
Game Date,游戏日期
Day,日
Version,版本
Module,模块
Against the Black Priory,攻打黑修院
Do you really want to quit the game?,你真的要退出游戏吗？
Unsaved progress will be lost,未保存的进度将会丢失
Choose a visual style,选择视觉风格
DEFAULT is recommended,推荐默认
This can also be customized in the SETTINGS menu,也可以在设置菜单中进行自定义
Default,默认
To-Hit,命中掷骰
Pre-Launch 1.0.3d,预发布 1.0.3d
Pre-Launch 1.0.3d - DELUXE EDITION,预发布 1.0.3d - 豪华版
Launch 1.0.5,发布 1.0.5
Launch 1.0.5 - DELUXE EDITION,发布 1.0.5 - 豪华版
Core 1.0.6c,核心 1.0.6c
Core 1.0.6c - DELUXE EDITION,核心 1.0.6c - 豪华版
Core 1.0.7e - DELUXE EDITION,核心 1.0.7e - 豪华版
SKALD Core 1.0.7e - DELUXE EDITION,SKALD 核心 1.0.7e - 豪华版
Press 1.0.9d - DELUXE EDITION,Press 1.0.9d - 豪华版
White - Roman,白色 - 罗马数字
Blue - Pips,蓝色 - 小标
Blue - Roman,蓝色 - 罗马数字
Red - Pips,红色 - 小标
Red - Roman,红色 - 罗马数字
"Note that a turn does not progress until all the character’s pop-up text is gone, so adjusting this number will also adjust how quickly combat turns pass",注意，直到所有角色的弹出文本消失后回合才会推进，因此调整此数值也会调整战斗回合的推进速度
You're trying to edit the difficulty so the difficulty options are now being set to the ‘CUSTOM’ values,你正在尝试编辑难度，因此难度选项现在被设置为“自定义”值
The custom difficulty will be saved and you can toggle back and forth between ‘CUSTOM’ difficulty and the pre-set difficulties any time,自定义难度将被保存，你可以随时在“自定义”难度和预设难度之间来回切换
"This feature should only be disabled if you experience performance issues. Editors note: As of patch 1.0.7, hovering over this option results in a temporary slow-down that may persist until you exist this options window. Try pressing the 1 or Esc key to quit quickly!",此功能仅应在遇到性能问题时禁用。编者注：自1.0.7补丁起，将鼠标悬停在此选项上会导致暂时性减速，可能持续到你退出此选项窗口。尝试按1键或Esc键快速退出！
If enabled it will use the game’s blended lighting system,如果启用，将使用游戏的混合光照系统
G,G
C,C
F,F
F2,F2
E,E
L,L
T,T
D,D
W,W
S,S
A,A
Q,Q
J,J
F9,F9
F5,F5
This is what a quote looks like,这就是引文的样子。
Game Loaded!,游戏已加载！
Save Game,保存游戏
OK,确定
Type a name and press 'OK'!,输入名称并按“确定”！
OVERWRITE,覆盖
Type a name and press 'Save'!,输入名称并按“保存”！
Name must be between 3 and 60 characters long and must be a valid file-name,名称长度必须在3到60个字符之间，且必须是有效的文件名
Are you sure you want to delete the following save,你确定要删除以下存档吗
The skin of the dice being rolled during skill-tests,技能检定中掷骰的骰子皮肤
Toggles the special ‘nostalgic UI’ that may remind you of classic RPG series we all know and love,切换特殊的“怀旧用户界面”，可能会让你想起我们都熟悉和喜爱的经典RPG系列
An empty save-slot,一个空的存档位
Are you sure you want to overwrite the following save,你确定要覆盖以下存档吗
