original,translate
"To learn spells, pick and invest in one or more such schools",要学习法术，请选择并投入一个或多个此类学派
Increased Agiliy,提升敏捷
Increased Heavy Armor Use,提升重型护甲专精
Increased Light Armor Use,提升轻型护甲专精
Increased Medium Armor Use,提升中型护甲专精
Increased Athletics,提升运动
Increased Attunement,提升魔谐力
Spell Aura Radius Increase,法术光环半径提升
Increased Awareness,提升感知
Increased Backstab Damage,提升背刺伤害
Pack Mule,骡马
Increased Crafting,提升制造
Critical Resistance,暴击抗性
Increased Diplomacy,提升交涉
Increased Dodge,提升闪避
Fletching,制箭
Doubles the chance of recovering a spent arrow after combat,战斗后回收已用箭矢的几率翻倍
Increased Fortitude,提升体质
Increased Gold Drops,提升金币掉落
Increased Healing,提升治疗
Increased Initiative,提升先攻
Increased Intellect,提升智力
Increased Lore,提升学识
Increased Max Cascade,提升最大连携施法数
Increased Movement,提升移动
Increased Presence,提升魅力
Increased Spell Aptitude,提升法术资质
Increased Stealth,提升潜行
Increased Strength,提升力量
You are powerfully built,你体格强壮
to Strength Primary Attribute,对力量主要属性
Survival Increase,生存提升
Increased Thievery,提升盗窃
Increased Toughness,提升坚韧
Increased Vitality,提升体力
Increased Will,提升意志
Charger,冲锋者
Axe Finesse,斧类灵巧
Blade Finesse,刀剑灵巧
Bow Finesse,弓类灵巧
Club Finesse,棍棒灵巧
Light Weapon Finesse,轻型武器灵巧
Vicious,凶残
Axe Damage,斧类伤害
Blade Damage,刀剑伤害
Bow Damage,弓类伤害
Club Damage,棍棒伤害
Brutal,残暴
Heavy Weapon Damage,重型武器伤害
Light Weapon Damage,轻型武器伤害
Piercing Damage,穿刺伤害
Phalanx,方阵
"While wielding a shield, get a dodge bonus for adjacent allies",持盾时，每有一名相邻同伴，获得闪避加值
Shield Training,盾牌训练
Acid Immunity,强酸免疫
Blindness Immunity,目盲免疫
Cold Immunity,寒冷免疫
Critical Immunity,暴击免疫
Deafness Immunity,耳聋免疫
Disease Immunity,疾病免疫
Lightning Immunity,闪电免疫
Fire Immunity,火焰免疫
Non Magical Damage Immunity,非法术伤害免疫
Panic Immunity,恐慌免疫
Paralysis Immunity,麻痹免疫
Poison Immunity,毒素免疫
Sleep Immunity,睡眠免疫
Fell Illumination,凶煞照明
Multi Attack,多重攻击
Gain 1 extra Attack per Turn,每回合获得1次额外攻击
Greater Increased Attunement,高级魔力提升
Major Natural Armor,高级天生护甲
Medium Natural Armor,中级天生护甲
Minor Natural Armor,次级天生护甲
Greater Natural Weapons,高级天生武器
Natural Weapons,天生武器
Point Blank Shot,抵近射击
You can use Ranged Weapons even when in Melee,即使在近战中也可以使用远程武器
Resistance,抗性
Slashing,挥砍
Blunt,钝击
Piercing,穿刺
Magical,魔法
Cold,寒冷
Acid,强酸
Kinetic,动能
Sublime,崇高
Electric,闪电
Fire,火焰
Psychic,心灵
Minor Resistance,次级抗性
Lightning,闪电
Physical,物理
Increased Aura Radius,提升光环半径
Increased Line Effects,提升线状效果
Increased Sphere Effects,提升球状效果
Air Magic Focus,空气法术专注
Bardic Magic Focus,吟游法术专精
Body Magic Focus,肢体法术专精
Earth Magic Focus,大地法术专精
Fire Magic Focus,火焰法术专注
Mind Magic Focus,心智法术专注
Nature Magic Focus,自然法术专注
Spirit Magic Focus,灵魂法术专精
Axe Accuracy,斧类命中
Blade Accuracy,刀剑命中
Bow Accuracy,弓类命中
Club Accuracy,棍棒命中
General Accuracy,总体命中
Heavy Weapon Accuracy,重型武器命中
Light Weapon Accuracy,轻型武器命中
Melee Accuracy,近战命中
Ranged Accuracy,远程命中
Vulnerability,易伤
Cold,寒冷
Sublime,崇高
Bonus XP Percentage,加成经验值百分比
Blessing of Agility,敏捷祝福
Blessing of Fortitude,坚韧祝福
Blessing of Intellect,智力祝福
Blessing of Presence,魅力祝福
Blessing of Strength,力量祝福
#Spells,#法术
Spells,法术
Armor of Thorns,荆棘护甲
Heroic Aura,英勇光环
Aura of Condemnation,定罪光环
Aura of Fear,恐惧光环
Miasma,瘴气
Aura of Silence,沉默光环
Searing Light,灼耀之光
Smothering Blanket,窒息帷幕
Sight to Behold,注目奇观
Eye-Shine,目耀术
Fire Sprite,火灵
Fireworks,烟火术
Heroic Tune,英勇曲调
Now you See Me,现形术
Lambent Dance,微光之舞
Lifting Tune,振奋曲调
Light Please,照明术
Raise the Curtain,揭幕术
Shadow Step,暗影步
Song of Soothing,安抚之歌
Sparkledust,闪光尘
Whisper of Confusion,困惑低语
Barkskin,树皮术
Bear's Strength,熊之力量
Blessing Aura,祝福光环
Blessing Touch,祝福之触
Blink,闪烁
Mark of Blurring,朦胧印记
Breath Glass,朦镜之息
Blinding Bolt,致盲闪电
Circle of Corporeal Restoration,肉体复原法阵
Circle of Healing,治疗法阵
Circle of Mental Restoration,精神复原法阵
Clear Senses,感官清明
Command of Paralyzation,麻痹指令
Cure Moderate Disease,治愈中级疾病
Heal Mind,心灵治愈
Fleet of Foot,轻捷步伐
Cure Moderate Poison,治愈中级毒素
Diamond Form,钻石形态
Dispel Magic,解除魔法
Distort Mass,扭曲物质
Divine Intervention,神圣干预
Aura of Flame,烈焰光环
Fireball,火球术
Breath of the Ancients,远古之息
Flaming Fists,烈焰拳
Fire Frenzy,火焰狂暴
Inferno,炎狱
Searing Lash,灼热鞭笞
Aura of Fire Resistance,火焰抗性光环
Fire Warrior,火焰战士
Force of Nature,自然之力
Fortify Awareness,强化感知
Fortify Will,意志强化
Mark of Haste,加速印记
Mark of Heroism,英勇印记
Hammer of Light,光明之锤
Holy Judgement,神圣审判
Holy Lance,圣枪
Hysterical Blindness,恐慌致盲
Curse of Ensnarement,缠缚诅咒
Instil Courage,灌注勇气
Mark of Invisibility,隐形印记
Greater Lay on Hands,高级圣疗
Minor Lay on Hands,次级圣疗
Moderate Lay on Hands,中级圣疗
Lesser Regeneration,次级再生
Mark of Illumination,照明印记
Holy Light,圣光
Lightning Strike,闪电打击
Magic Missile,魔法飞弹
Web of Roots,根须之网
Sublime Projection,超然投射
Pestilence,瘟疫
Poisoned Globe,毒液球
Purge Invisibility,驱散隐形
Purge Magic,净化魔法
Greater Regeneration,高级再生
Corporeal Restoration,肉体复原
Mental Restoration,精神复原
Serpent's Grace,蛇之优雅
Arcane Shockwave,奥术冲击波
Steal Breath,窃息术
Mark of Lethargy,迟缓印记
Mass Lethargy,群体迟缓
Stoneskin,石肤术
Stunning Aura,震慑光环
Stunning Touch,震慑之触
Summon Giant Insect,召唤巨型昆虫
Summon Magmite,召唤熔岩虫
Summon Ooze,召唤软泥怪
Summon Vermin,召唤害虫
Swarm of Gnats,蚊群
Thunderclap,雷霆震击
Touch of Condemnation,定罪之触
Touch of Confusion,困惑之触
Touch of Weakness,虚弱之触
EYE-SHINE,目耀术
RAISE THE CURTAIN,揭幕术
#Triggered Abilities,#触发能力
Arcane Rush,奥术激涌
"The first time you take Wound Hit point Damage each combat, you automatically regain 30-40 Attunement Points",每场战斗中你首次受到创伤命中伤害时，自动恢复30-40点魔谐力点数
Crippling Finesse,致残巧技
"When scoring a Backstab hit using a Light Weapon, the targets gets a random injury Condition",使用轻型武器造成背刺命中时，目标获得随机受伤状态
Rending Blow,撕裂重击
Critical Hits with an Axe causes Injury Conditions,使用斧类武器造成暴击时引发受伤状态
Deep Cut,深创
Your Critical Hits using Blades cause Bleeding on your target,你使用刃类武器造成暴击时使目标流血
Red Arcs,红色弧光
Scoring a Critical Hit with a Light Blade causes you to restore 1 Attack,使用轻型刀剑造成暴击时，你恢复1次攻击
Rapid Reload,快速装填
"If you score a Critical Hit with a Bow, you immediately regain 1 attack",使用弓造成暴击时，你立即恢复1次攻击
Kneecap,断膝
Critical Hits with a Club causes The Injured Leg condition,使用棍棒造成暴击时引发腿部受伤状态
Weaving Blade,缠绕刀锋
Dodging a Melee Attack whilst armed causes you to deal a small amont of Slashing Damage to your attacker,持械时闪避近战攻击，会对攻击者造成少量挥砍伤害
Felling Strike,倒伏打击
Weakly Infections,弱效感染
Your unarmed attack may cause disease in the target,你的徒手攻击可能导致目标染病
Decapitation,斩首
The gruesomeness of your Axe-Kill causes the Fear condition in all opponents who can see it,你斧杀的恐怖景象使所有能看见的对手陷入恐惧状态
Cleave,顺势斩
Killing an opponent using a Heavy Melee Weapon restores 1 Attack,使用重型近战武器击杀对手恢复1次攻击
Inspiring Kill,激励击杀
"When killing an Opponent in Armed or Unarmed Melee combat, all Allies who witness the kill get the Inspired Condition for 1 Turn",在持械或徒手近战战斗中击杀对手时，所有目睹此击杀的同伴获得1回合激励状态
Replenishing Takedown,补给击杀
"Killing a Marked Target, heals the party a small amount",击杀标记目标，为队伍恢复少量生命
Magnificent Takedown,华丽击杀
"When killing a Marked target, all Allies who witness the kill get the Inspired Condition for 1 Turn",击杀标记目标时，所有目睹此击杀的同伴获得1回合激励状态
Bleeding Strike,流血打击
Greater Bleeding Strike,强效流血打击
Lesser Bleeding Strike,次级流血打击
Acid Burst,酸液爆发
Sommon Abomination,召唤异物
Lesser Poison Attack,次级毒素攻击
Moderate Poison Attack,中级毒素攻击
Strong Poison Attack,高级毒素攻击
Stunning Strike,眩晕打击
Steal Life,窃命术
Shield Slam,持盾猛击
"Whilst wielding a shield, dodging a melee attack causes you to deal 1-4 Blunt damage to your attacker",持盾时，闪避近战攻击会对攻击者造成1-4点钝击伤害
Smashing Charge,粉碎冲锋
Your Charges cause 1-3 additional Blunt Damage,你的冲锋造成额外1-3点钝击伤害
Hidden Deployment,隐匿部署
You start combat Hidden,你以潜行状态开始战斗
Smoke Bomb,烟雾弹
"The first time you're Wounded each combat, you automatically hide",每场战斗中你首次受到创伤时，自动进入潜行
Not Today!,休想！
"The first time you take Wound Hit point Damage each combat, you automatically regain 12-18 Vitality Hit Points",每场战斗中你首次受到创伤命中伤害时，自动恢复12-18点体力值
