original,translate
It appears to have been a form of ritual implement and I suspect it might still hold both significance and power,它似乎是一种仪式用具，我怀疑它可能仍然具有某种意义和力量
Astronomer's Journal,天文学家的日志
I found a strange journal that seems to have belonged to an Imperial astronomer,我找到了一本奇怪的日志，似乎属于一位帝国天文学家
"It appears the poor man felt the stars are somehow ""wrong"" after spotting a strange star-cluster in the southeastern quadrant",看来这个可怜的人在东南象限发现了一个奇怪的星团后，觉得星星有些“不对劲”
A Feast for Lizards,蜥蜴的盛宴
I found scraps of rotting flesh in the lizard-cave on Idra,我在伊德拉的蜥蜴洞里找到了腐烂的肉块
I wonder if the reptiles would gorge themselves if they had more flesh?,我想知道如果这些爬行生物有更多的肉，它们会不会狼吞虎咽？
Goat Gold,山羊贿金
"Jakub the farmer, paid me a small bribe to keep quiet about his hidden goats",农夫雅库布给了我一点贿赂，让我对他藏山羊的事保密
Jakub is Done Talking,雅库布无话可说了
"Jakub, the Idran goat farmer, has made it clear he has nothing more to say regarding the issue of his hidden goats",伊德拉的牧羊人雅库布明确表示，关于他藏山羊的事，他没什么可说的了
The Gravedigger,掘墓人
I met a poor fellow outside the Idran refugee camp,我在伊德拉难民营外遇到了一个可怜的家伙
Ha had the thankless task of burying dead refugees,他干着埋葬死难难民这种吃力不讨好的活
I offered to help him before the horrid entities that roam the island made short work of him,我提出帮他，免得那些在岛上徘徊的可怕怪物把他干掉
"Needless to say, he didn’t think twice",不用说，他毫不犹豫地答应了
The Hidden Glen,隐秘幽谷
I learned the way to a hidden glen near the refugee camp on Idra,我得知了通往伊德拉难民营附近一个隐秘幽谷的路
The best way to get there is to find and follow the goat tracks behind the old goat enclosure on Jakub’s farm,去那里的最佳方法是找到并沿着雅库布农场旧羊圈后面的山羊足迹走
A Survivor,一名幸存者
I found a sailor named Andry cowering in the foul caves near my landing site on Idra,我在伊德拉登陆点附近的污秽洞窟里发现了一个名叫安德里、瑟瑟发抖的水手
He thanked me profusely for the help and made his way out to look for fellow survivors,他对我的帮助千恩万谢，然后出发去寻找其他幸存者
The Lighthouse,灯塔
I made it to the lighthouse and met its keeper Mathias,我到达了灯塔，见到了守塔人马蒂亚斯
A haggard old fellow that had barricaded himself on the top floor of the structure,一个憔悴的老头，把自己堵在灯塔的顶层
"To his credit, he’s managed to keep the lighthouse running throughout the calamities that are befalling this island",值得称赞的是，在降临这座岛的种种灾难中，他设法让灯塔一直运转着
No doubt this is critical to the survival of those still caught out at sea,毫无疑问，这对那些仍被困在海上的幸存者至关重要
The second keeper,第二位守塔人
The lighthouse in Idra seems to have had a second keeper,伊德拉的灯塔似乎还有第二位守塔人
A man named Caspar who seemingly went mad dreaming about caves underneath the lighthouse,一个名叫卡斯帕的人，他似乎因梦见灯塔下方的洞窟而发了疯
His writing mentions a “blade” calling him there,他的文字提到有一把“刀剑”在召唤他去那里
Monoliths,巨石
There are strange monoliths on Idra,伊德拉岛上有奇怪的巨石
"Though they appear to be ancient, it seems someone is still performing rituals at them",尽管它们看起来很古老，但似乎仍有人在它们那里举行仪式
Surviving Sailors,幸存的船员们
I came across a group of survivors from the Zephyr,我遇到了一群西风号的幸存者
"They were hold up in some abandoned fishing huts and their leader, Snow, asked that I send any other survivors from the Zephyr to their camp",他们躲在一些废弃的渔棚里，他们的头儿斯诺让我把其他西风号幸存者送到他们的营地
The Telescope,望远镜
"Though I cannot really put into words what I saw, I used the astronomer’s telescope and I saw terrible things",虽然我无法真正用语言描述我所看到的，但我用天文学家的望远镜看到了可怕的东西
I am beset by a deep certainty that something is gravely wrong on this island,我深深地确信，这座岛上有什么东西严重不对劲
The Weathermaiden's Plight,风暴少女号的困境
A crewman from the ship “Weathermaiden” has asked that I seek out the first mate Zhara,“天候少女号”的一名船员让我去找大副扎拉
They are holed up in a large sea-cave at position 66 by 91 on the Outer Isles map,他们躲在外岛群地图上坐标66
That should make it north-west of the refugee-camp,那应该是在难民营的西北方向
An Abandoned Farm,废弃农庄
I came across a small abandoned farm near the beach where I came ashore on Idra,我在伊德拉上岸的海滩附近发现了一个废弃的小农庄
It’s pretty derelict but it might serve well enough as a makeshift camp,它相当破败，但或许足以充当临时营地
Markus the Chamberlain,总管马库斯
I met and spoke with the de-facto leader of the refugee camp north of Horryn,我与霍林北部难民营的实际领导者见了面并交谈
Apparently the town has been overrun by crazed cultists,显然，镇子已经被疯狂的邪教徒占领了
"Worse, the city-gates are apparently sealed making it impossible to get back in",更糟的是，城门显然被封死了，无法再进入
For now my energy might be well spent trying to ease the plight of the refugees,目前，我的精力最好花在缓解难民们的困境上
Smuggler's Cache,走私者藏匿处
I found an abandoned smuggler's cache in one of the Caves on Idra,我在伊德拉的一个洞窟里发现了一个废弃的走私者藏匿处
Perhaps there are more like it to be found on the Outer Isles?,也许在外岛群还能找到更多类似的地方？
The Wreck Picker,残骸拾荒者
I met a strange old wreck picker by the name of Basilo,我遇到了一个名叫巴西洛的古怪老拾荒者
"Though I should be careful in trusting him, he has offered to buy any scrap I find on the beach",虽然我应该小心信任他，但他提出要收购我在海滩上找到的任何废料
I can find him in an old farm house north of where I landed on Idra,我可以在伊德拉登陆点以北的一座旧农舍里找到他
The Zephyr,西风号
Apparently the wreck of the Zephyr has shifted enough in the tides that it is now possible to enter it,显然，西风号的残骸在潮汐中移动得足够多，现在可以进去了
DRIINA THE SEPULCHITE,葬仪修会的德莉娜
EMBLA IN HORRYN,霍林的恩布拉
THE SECOND KEEPER,第二位守塔人
WAKING UP,苏醒
#Chapter 2,#章节 2
Oleg's Plan,奥列格的计划
I told Oleg that the Butcher has gotten hold of his unholy tablets,我告诉奥列格，屠夫已经拿到了他的不洁石板
The news caused the old chieftain to decide to attempt to end the Butcher,这个消息让这位老酋长决定尝试除掉屠夫
"I suspect that Oleg doesn’t stand a chance against him alone so perhaps I should ask the third chieftain, Kala, to side with Oleg?",“我怀疑奥列格单打独斗不是他的对手，所以也许我应该请第三位酋长卡菈站到奥列格一边？”
Together they might be able to take down the Butcher,他们联手或许能打倒屠夫
Oleg the Gray is Dead,灰发奥列格已死
The Reaver chief Oleg the Gray is dead,劫掠者首领灰发奥列格已死
Oleg's Right to Rule,奥列格的统治权
I met one of the three Reaver chieftains,我见到了三位劫掠者酋长之一
Oleg,奥列格
He’s the oldest of the three and claims to hold ‘sacred’ tablets that gives him the right to rule over his siblings; Kala and the Butcher,他是三人中最年长的，声称持有‘神圣’石板，赋予他统治其兄弟姐妹卡菈和屠夫的权利
He’s asked me to seek them out and remind them of that fact,他让我找到他们，提醒他们这一事实
Queen Kala is Dead,卡菈女王已死
The Reaver chief 'queen' Kala is dead,劫掠者首领‘女王’卡菈已死
The Butcher is Dead,屠夫已死
The Reaver chief known as 'the Butcher' is dead,被称为‘屠夫’的劫掠者首领已死
The Reaver Tablets,劫掠者石板
I gave the Reaver Tablets to the Butcher,我把劫掠者石板交给了屠夫
He now intends to make an offering of Oleg as part of his ascent to Father's side,他现在打算将奥列格作为祭品，作为他升到【父亲】身边的一部分
He's asked me to go tell Kala he wants her at his side for the final slaughter,他让我去告诉卡菈，他希望她在最后的屠杀中站在他身边
The Butcher's Designs,屠夫的计划
I met the Reaver chieftain that calls himself “The Butcher,我见到了自称“屠夫”的劫掠者酋长
He’s determined to win the favor of the one the Reavers call Father by subjugating his siblings,他决心通过征服他的兄弟姐妹来赢得劫掠者称为【父亲】的那位的青睐
Oleg and Kala,奥列格和卡菈
For starters he’s asked me to steal a pair of unholy tablets that are currently in the possession of Oleg,首先，他让我去偷一对目前由奥列格持有的不洁石板
They are being kept in tunnels under Oleg's lodge in the east end of town,它们被藏在镇东头奥列格住所下方的地道里
There is apparently a secret entrance to them if I “don’t mind wading through shit,如果我“不介意蹚过屎尿”，显然有一条秘密入口通往那里
The Waif,流浪儿
I met a young girl in the ruins of Horryn and managed to win her trust with some food,我在霍林的废墟中遇到了一个年轻女孩，用一些食物赢得了她的信任
She has proven quite resourceful and has successfully managed to evade the Reavers,她证明了自己相当机智，并成功躲避了劫掠者
It turns out she had quite a bit of information about them,原来她掌握了不少关于他们的信息
She’s currently hiding in an alley west of the plaza,她目前躲在广场西边的一条小巷里
A Strange Growth,奇怪的菌类
I came across a strange fungus growing on some of the fresh corpses in the crypt under the Horryn temple,我在霍林神庙下的墓室里的一些新鲜尸体上发现了一种奇怪的菌类
It’s difficult to say what it is but is seems to be out of place there,很难说它是什么，但它似乎不该出现在那里
Joran the Usurper,篡位者约兰
A strange and ancient creature clings to undeath in the bowels of the catacombs under Horryn,一个奇怪的古老生物在霍林地下墓穴深处苟延残喘，处于不死状态
The hateful creature will not rest until I bring it the sword of “Joran the Usurper,这个充满仇恨的生物不会安息，除非我给它带来“篡位者约兰”的剑
I wonder if this usurper could be buried in one of the other tombs in this catacomb,我想知道这位篡位者是否可能被埋在这座地下墓穴的其他坟墓之一
Main Gate Opened,主门开启
The main gate of Horryn is now opened!,霍林的主门现已开启！
Sea-Gate Open,海门开启
The Horryn sea-gate is now opened!,霍林的海门现已开启！
The Art Dealer,古董商人
An art-dealer down in the Underhalls beneath Horryn is looking to buy strange and unusual artifacts if I find any,霍林地下大厅下的一个古董商人想要收购奇特罕见的古物，如果我找到的话
Reaver Cellar,劫掠者地窖
A pair of Reavers appeared to be guarding something in the cellar under Olge’s lodge,两个劫掠者似乎在奥列格住所下的地窖里看守着什么东西
OLEG THE GRAY IS DEAD,灰发奥列格已死
OLEG'S RIGHT TO RULE,奥列格的统治权
QUEEN KALA IS DEAD,卡菈女王已死
THE BUTCHER IS DEAD,屠夫已死
JORAN THE USURPER,篡位者约兰
SEA-GATE OPEN,海门开启
#Chapter 3,#章节 3
To Find a Ship,寻找一艘船
We must find a ship willing to take us to Gradla,我们必须找到一艘愿意带我们去格拉德拉的船
Markus the chamberlain suggests I seek out the smugglers that are rumored to be holed up in a cave north-west of Horryn,总管马库斯建议我去寻找那些据传藏匿在霍林西北部一个洞穴里的走私者
That would place it somewhere near the location 66 by 91 on the Outer Isles map,那应该是在外岛群地图上坐标66
We must find a ship willing to take us to Gradla and I think the ship and crew hiding in the sea-caves north-west of town is likely my best bet,我们必须找到一艘愿意带我们去格拉德拉的船，我认为藏在镇子西北海蚀洞窟里的那艘船和船员很可能是我最好的选择
The cave is located at position 66 by 91 on the Outer Isles map,那个洞穴位于外岛群地图上坐标66
Horryn is Saved,霍林得救了
I managed to storm the keep in Horryn and stamp out the last remnants of the Reavers,我成功攻下了霍林的堡垒，并消灭了劫掠者的最后残余
"Though hundreds are dead and the city in ruins, Horryn appears to be safe for now",“虽然数百人丧生，城市化为废墟，但霍林目前似乎安全了”
Iago Rejoins his Crew,伊阿戈与他的船员重聚
Iago has gone ahead to rejoin his crew and begin preparations for us to sail for Gradla,伊阿戈已经先行一步与他的船员重聚，并开始为我们驶向格拉德拉做准备
He awaits us up in a large sea-cave at position 66 by 91 on the Outer Isles map,他在外岛群地图上坐标66
That should make it north-west of Horryn,那应该是在霍林的西北方
HORRYN IS SAVED,霍林得救了
IAGO REJOINS HIS CREW,伊阿戈与他的船员重聚
#Chapter 4,#第4章
Colony Collapse,蜂群崩溃
I found several dead or dying bee-hives in Firgol,我在菲尔戈发现了几处死亡或濒死的蜂巢
It seems the bees there are fighting amongst each other,看来那里的蜜蜂正在自相残杀
Firgol Bees,菲尔戈尔蜜蜂
"Despite assurances that ‘Firgol bees do not sting’, I found the bees in one of the hives to be quite aggressive",尽管有人保证“菲尔戈尔蜜蜂不蜇人”，我却发现其中一处蜂巢的蜜蜂相当具有攻击性
I may need to find some way of pacifying them if I am going to get at the honey,要想取到蜂蜜 我可能得想办法安抚它们
Trapped Mine Tunnel,陷阱矿道
I’ve rigged one of the tunnels in the mine at Adler’s Helm to collapse,我在鹰盔堡的矿井里设好了一条会塌方的矿道
The trap can be triggered by using a rope to pull away the remaining support-beam and I’m certain it could be done rapidly if need be,用绳子拉掉仅剩的支撑梁就能触发陷阱 而且我确信必要时可以迅速完成
The False Tomb,假墓
I found and opened the sarcophagus in the Priory catacombs central tomb-chamber,我找到并打开了修道院地下墓穴中央墓室里的石棺
"Surprisingly, it turns out to be empty!",令人惊讶的是，里面竟然是空的！
A decoy perhaps?,也许是个诱饵？
The Gong,锣
I performed a ritual using the gong outside the tomb chamber,我用墓室外的锣举行了一场仪式
I have a strong feeling it was correctly performed though I cannot tell exactly to what purpose,我强烈感觉仪式进行得很正确 尽管我说不清它究竟有何作用
Perhaps some kind of trap was deactivated?,也许某种陷阱被解除了？
Tunnels in the Dark,黑暗中的地道
I found a secret exit in the tomb-chamber that leads to tunnels engulfed by magical darkness,我在墓室里发现了一条秘密出口 通往被魔法黑暗吞噬的地道
I feel certain the way forwards lie through these tunnels though I must take care not to get lost in the dark as I attempt to navigate them,我确信前进的路就在这些地道之中 不过在尝试穿行时 我必须小心别在黑暗中迷失方向
The First Sarcophagus,第一具石棺
I found a sarcophagus under the Priory with the following description,我在修道院地下找到了一具石棺 上面写着如下描述
Carroleth of the Crystal Eye - First Grandmaster of the Order of the Crystal Eye,水晶之眼的卡罗莱斯——水晶之眼教团首任大导师
The Second Sarcophagus,第二具石棺
Rothrax the Gray - Second Grandmaster of the Order of the Crystal Eye,灰者罗斯拉克斯——水晶之眼教团第二任大导师
The Third Sarcophagus,第三具石棺
Kalamar the Wise - Third Grandmaster of the Order of the Crystal Eye,智者卡拉玛——水晶之眼教团第三任大导师
The Ascension Chamber,升天室
I found the chamber where Calipero’s apprentices go to “ascend” as a reward for their service,我找到了卡利佩罗的学徒们作为服役奖赏前去“升天”的房间
"Grotesquely, the chamber appears to be nothing more than a crematorium",诡异的是，这房间似乎不过是个火葬场
Kill the Queen,杀死蜂后
I found a strange queen in one of the hives,我在其中一处蜂巢里发现了一只奇怪的蜂后
I suspect it’s the cause of the collapse of the other colonies and so I quickly dispatched it,我怀疑它就是其他蜂群崩溃的元凶 于是迅速了结了它
Pilgrim's Shrines,朝圣者神龛
I found an old pilgrim’s shrine,我找到了一座古老的朝圣者神龛
If I could somehow learn the proper prayers and rituals I could probably complete the pilgrimage myself if I wanted,如果我能设法学会正确的祷文和仪式 或许只要我愿意 就能亲自完成这场朝圣
The Maiden Sets Sail,少女号扬帆
We’ve taken to the high seas on the Weathermaiden,我们乘着天候少女号驶向了远海
"We must, however, stay close to shore lest we invoke the wrath of the behemoth that stalks the deeper seas of the Outer Isles",然而，我们必须紧贴海岸航行，以免招来在外岛深海中游弋的海怪之怒
honey,蜂蜜
TUNNELS IN THE DARK,黑暗中的地道
KILL THE QUEEN,杀死蜂后
#Chapter 5,#第5章
A Language of Pure Logic,纯逻辑构成的语言
I managed to somehow become attuned to the language of the great machine inside the ancient structure,我设法以某种方式与古老结构内部那台伟大机器的语言产生了共鸣，
