original,translate
The charge bonus is added to the following attack’s To Hit and Damage roll,冲锋加值会加到下一次攻击的命中和伤害掷骰上
Defend Bonus,防御加值
The bonus that is added to a character’s Dodge value when performing the Defend action,执行防御动作时加到角色闪避值上的加值
Flanking Bonus,包抄加值
The bonus that is added to a character’s To Hit roll when attacking a Flanked opponent,攻击被包抄的敌人时加到角色命中掷骰上的加值
Loot Bonus,战利品加值
This attribute provides a percentage bonus increase of the amount of gold you find by looting corpses after combat,此属性提供战斗后掠夺尸体获得金币数量的百分比加成
Movement,移动
The number of tiles a character can move during a single combat turn and still attack,角色在单次战斗回合中仍可攻击的移动格数
Phalanx Bonus,协防值
"If wielding a shield, you get a bonus to Dodge for each adjacent ally up to your Phalanx value",持盾时，每有一名相邻盟友，可获得闪避加值，最高不超过你的协防值
This means that you do not get any such bonus if your bonus is,这意味着如果你的协防值为零，则无法获得此加成
Regeneration,再生
"If above 0, you regain a number of Vitality points at the beginning of each combat turn equal to your Regeneration score",若大于0，每个战斗回合开始时回复等同于再生值的体力点数
Retribution,反击
"If above 0, you deal damage equal to your retribution score to any opponents that score a melee attack hit against you",若大于0，对任何命中你的近战攻击的敌人造成等同于反击值的伤害
Natural Soak,天生减伤
Natural soak represents soak derived from a thick skin or unnaturally high resistance to physical damage,天生减伤表示源自厚皮或异常高的物理伤害抗性
XP Percentage Bonus,经验值百分比加成
"If above 0, this attribute provides a percentage bonus to all XP gained for this character",若大于0，此属性为该角色获得的所有经验值提供百分比加成
#Secondary Attributes,#次级属性
Vitality,体力
Vitality describes the amount of damage a character can take before becoming seriously wounded,体力描述了角色在受到严重创伤前能够承受的伤害量
Vitality is fairly easily regained through the use of consumable items and spells,体力可以通过使用消耗品和法术较容易地恢复
Wounds,创伤
Wounds represent serious injury to the character,创伤代表角色受到的严重伤害
"Wounds are much harder to recover for characters, typically requiring bed rest",创伤对角色来说更难恢复，通常需要卧床休养
#Skills,#技能
Athletics,运动
"Athletics are used to jump, climb, swim or sprint",运动用于跳跃、攀爬、游泳或冲刺
Awareness,察觉
The ability to notice small details and hidden things,能够注意到细微细节和隐藏事物的能力
Crafting,制作
Crafting is used when creating items at crafting stations,制作用于在制作工作台上创建物品
Diplomacy,交涉
"Diplomacy is used to lie, bargain or sway others in negotiations",交涉用于撒谎、讨价还价或在谈判中影响他人
It influences prices at merchants,它会影响商人的价格
Healing,医疗
Healing is used in camp to increase the rate of wound recovery for wounded characters,医疗在营地中用于加快受伤角色的创伤恢复速度
It also influences the amount of vitality regained from healing potions and is used in dialogue tests when dealing with medical issues and such,它还会影响治疗药水恢复的体力值，并在处理医疗问题等对话检定中使用
Lore,学识
A general knowledge skill,通用知识技能
Stealth,潜行
Stealth is used during adventuring,潜行在冒险过程中使用
In particular it determines if NPCs notice the party as it moves around,具体来说，它决定他人是否会注意到队伍的移动
Survival,生存
"Survival is used to forage for food, navigate difficult overland terrain and also determines a character's general knowledge of nature",生存用于觅食、穿越艰难地形，同时决定角色的自然知识掌握程度
Thievery,偷窃
Used to pick locks and pockets as well as to steal from shops,用于开锁、扒窃及从商店偷窃
