original,translate
"Frantzo, the camp’s cook and de-facto quartermaster, needs me to find food supplies for the refugees",弗兰佐，营地的厨师兼实际上的军需官，需要我为难民寻找食物补给
He needs a large supply of it and soon as people have begun dying from starvation,他需要大量补给，而且要快，因为已经开始有人饿死
I’ve provided the Frantzo with the food he needs to keep the refugees fed for the foreseeable future,我已向弗兰佐提供了他所需的食物，足以在可预见的未来养活难民
Jakub's Goats,雅库布的山羊
Frantzo suggests looking into the farmer’s missing herd of goats,弗兰佐建议调查那位农夫丢失的山羊群
He suspects the farmer hid them away to keep them from being eaten by starving refugees,他怀疑农夫把它们藏起来，以免被饥饿的难民吃掉
Bring the Goats to Camp,把山羊带到营地
I found Jakub's hidden goats up in a secluded mountain glen,我在一个僻静的山谷中找到了雅库布藏起来的山羊
Now I must bring the herd of goats to the refugee camp,现在我必须把这群山羊带到难民营
If I don't get Jakub to agree first there may be consequences,如果我不先让雅库布同意，可能会有后果
Convince Jakub,说服雅库布
Perhaps I should talk to Jakub and see if convince him to let me bring the goats back to camp,也许我应该和雅库布谈谈，看看能否说服他让我把山羊带回营地
"Jakub, the Idran goat farmer, has come to his senses and agreed to let me bring the goats to camp so they can be eaten",雅库布，这位伊德拉的牧羊人，已经想通了，同意让我把山羊带到营地供人食用
He asks that I go and help his son,他请求我去帮助他的儿子
Return to Frantzo,返回弗兰佐处
I must return to Frantzo and tell him that I've brought Jakub's goats to camp,我必须返回弗兰佐那里，告诉他我已经把雅库布的山羊带到了营地
Search for the Goats,寻找山羊
I need to start by looking for a clue as to where the herd could be located,我需要先寻找羊群可能在哪里的线索
An Alternate Supply,替代供给
Look for an alternate solution to the food-crisis in the refugee camp,寻找解决难民营食物危机的替代方案
Sea's Bounty,海洋的恩赐
The quartermaster of the Weathermaiden has enough food-supplies to feed the refugee camp,天候少女号的军需官有足够的食物补给来养活难民营
The downside is it will cost me 500 pieces of gold,缺点是这将花费我500枚金币
I’ve acquired the food-supplies needed to feed the refugees,我已获得养活难民所需的食物补给
Now all that remains is to return to Frantzo and tell him the good news,现在剩下的就是返回弗兰佐那里，告诉他这个好消息
Outbreak,疫情爆发
"There is an outbreak in camp and the aged cleric, Drahl, has asked me to help him look for a cure",营地爆发了疫情，年迈的牧师德拉尔请我帮他寻找治疗方法
He suggests I start by talking to Hannah,他建议我先去找汉娜谈谈
The mother of a sick child who appears to have a suggestion for a cure,一位生病孩子的母亲，她似乎对治疗方法有所建议
She can be found in a cottage south of camp,她可以在营地南边的一间小屋找到
I provided Drahl with a cure for the outbreak and it appears to be having the intended effect,我向德拉尔提供了治疗疫情的方法，看来效果符合预期
A Mother's Love,母爱
A young mother in the refugee camp has pleeded with me to help save her child,难民营里一位年轻的母亲恳求我帮忙救她的孩子
The boy's fallen ill and she begs me to seek out an old crone living in the forest in the islands interior,男孩病倒了，她恳求我去寻找住在岛屿内陆森林里的一位老妇
She would know how to help,她会知道如何帮忙
"Though the old woman had gone insane, I was able to get medicine for the child",尽管老妇人已经疯了，我还是为孩子弄到了药
I was unable to get medicine for Hannah in time,我没能及时为汉娜弄到药
Both mother and child passed,母子俩都去世了
"Having gotten his medicine, Hannah's boy is looking better already",拿到药后，汉娜的男孩看起来已经好多了
The Un-Born,未生者
Mother Katak will help with the outbreak in camp,卡塔克嬷嬷会帮忙处理营地的疫情
"To make medicine she has asked me to find ""the un-born of the scaled ones""",为了制药，她让我去找“鳞族之未生者”
"Apparently they dwell nearby: ""north of the great oak and past the fetid pools""",显然它们就在附近：“大橡树以北，越过恶臭池塘”
I recovered eggs from a pack of giant lizards and delivered them to the mad old hag,我从一群巨蜥那里取回了蛋，交给了那个疯老太婆
You need to find 1 GiantLizardEgg,你需要找到1个巨蜥蛋
You found GiantLizardEgg!,你找到了巨蜥蛋！
The Eternity Gate,永恒之门
I find myself naked and alone in the darkness,我发现自己赤身裸体，孤身一人身处黑暗之中
I can only surmise I am inside the strange structure that we found underneath the Black Priory,我只能推测我身处我们在黑修院地下发现的奇异建筑内
Truly this is a place where no mortal foot was ever meant to tread,这确实是一个凡人本不该踏足的地方
I am undone,我完了
Dust in an endless void,无尽虚空中的尘埃
This will be my final entry,这将是我最后的记录
The Zephyr,西风号
"I need to investigate what is happening with ""The Zephyr",我需要调查“西风号”上发生了什么
A mutiny had broken out as the crew refused to bring the ship closer to Idra,船员拒绝将船驶近伊德拉，一场暴动爆发了
They claimed the island was cursed,他们声称这座岛被诅咒了
"The zephyr was sunk by a terrible, un-namable creature of the deep",西风号被一头可怕、无法名状的深海生物击沉了
Plateau of Madness,疯狂高原
The Cabal expedition landed at the mining-village of Adler’s Helm,秘盟考察队在采矿小镇鹰盔堡登陆
I suspect we can find a way to ascend to the interior plateau on Gradla if we follow their trail to Adler's Helm and beyond,我怀疑如果我们沿着他们的足迹前往鹰盔堡及更远的地方，就能找到登上格拉德拉内陆高原的路
"Following the ancient stairs discovered by the miners of Adler’s Helm, we have reached the interior plateau",沿着鹰盔堡矿工发现的古老阶梯，我们到达了内陆高原
The Priory lies within reach,修道院已近在咫尺
Retaking Horryn,收复霍林
"To retake Horryn, we must kill the three Reaver chiefs that occupy the city",要收复霍林，我们必须杀死占领该城的三名劫掠者首领
"The three are know as Oleg the Gray, Queen Kala and the Butcher",这三者分别是灰发奥列格、卡菈女王和屠夫
Iben cautions that the threesome is fierce and that we might use cunning and use their infighting to our advantage,伊本警告说这三人非常凶残，我们或许可以运用计谋，利用他们的内斗来取得优势
Oleg the Gray,灰发奥列格
Dead Queen Kala,卡菈女王已死
Dead The Butcher,屠夫已死
Dead,已死
Alive,存活
Alive The Butcher,屠夫存活
Alive Queen Kala,卡菈女王存活
We have retaken the outer city,我们已经收复了外城
Storming the Keep,强攻要塞
"Though we have liberated the outer city, Horryn’s keep remains in the possession of the Reavers",虽然我们解放了外城，霍林的要塞仍被劫掠者占据
The keep is well protected from a frontal assault so we need to look for an alternate entrance,要塞正面防御严密，因此我们需要寻找其他入口
I successfully infiltrated the keep and slew the foul creature known as “Father,我成功潜入了要塞，并杀死了那个被称为“父亲”的邪恶生物
The Secret Tunnel,秘道
Hierophant Drahl believes a secret tunnel exists that connects the keep to the crypts underneath the temple,大祭司德拉尔相信存在一条秘道，连接要塞和神殿地下的墓室
The sacred crypts of the Sepulchites can be accessed from within the temple,葬仪修会的神圣墓室可以从神殿内部进入
"Drahl suspects that if a secret tunnel does indeed exist, it probably lies in the deeper sections of the crypts",德拉尔怀疑，如果秘道确实存在，它很可能位于墓室更深处
"Though the crypt was overrun by foul undead creatures, we did indeed find the secret tunnel",尽管墓室被邪恶的不死生物占据，我们确实找到了秘道
Talk to Drahl,与德拉尔交谈
"According to Markus, Hierophant Drahl might know of a secret entrance into the keep",据马库斯说，大祭司德拉尔可能知道进入要塞的秘密入口
The Hierophant can be found in front of the newly liberated temple,大祭司可以在新解放的神殿前找到
I met and talked to the Hierophant,我见到了大祭司并与他交谈
Talk to Markus,与马库斯交谈
I’ve been told to meet Markus the Chamberlain at the inn that lies west of the city square in Horryn,我被告知去霍林城市广场西边的旅店见总管马库斯
I suspect he has an idea about how to pierce the keep's defences,我猜他有办法突破要塞的防御
I found and talked to Markus,我找到了马库斯并与他交谈
Untold Eons,无数纪元
"We’ve penetrated the dungeons that lay beneath the Black Priory and entered into the black, timeless realms beyond",我们穿过了黑修院下方的地牢，进入了那黑暗、超越时间的领域
Now it remains to be seen what untold secrets have lain hidden for so long,现在，就看那些隐藏了如此之久的无数秘密究竟是什么了
We found what the Cabal was excavating underneath the Priory,我们发现了秘盟在修道院下方挖掘的东西
By the Golden how I wish we had let it lie in peace,以黄金之名，我真希望我们当初让它安息
I fear there is no salvation for us now,恐怕我们现在已无救赎
The Priory Opens,修道院开启
We’ve entered the Black Priory,我们进入了黑修院
"Whatever secrets the Cabal expedition found here, I suspect they lay beneath the priory",无论秘盟考察队在这里发现了什么秘密，我怀疑它们就在修道院下方
We must find a way to enter the dungeon below,我们必须找到进入下方地牢的路
We have breached the lower level of the priory,我们已突破修道院的下层
To Sleep and Dream,沉眠与梦
The secrets of the Priory are within reach,修道院的秘密触手可及
We must navigate the catacombs and reach the great secret that lies at its heart,我们必须穿过地下墓穴，抵达其核心的巨大秘密
May the Dead save us,愿死者拯救我们
The secrets of this place are far deeper and more ancient than any of us could have guessed,此地的秘密远比我们任何人猜测的更深邃、更古老
We descend now into a darkness from which I fear we’ll never re-emerge,我们现在正坠入一片黑暗，恐怕再也无法重见天日
Upon Black Seas,黑海之上
I rescued Embla but we find that there is no way to return to the main-land whilst the Outer Isles is engulfed in this madness,我救出了恩布拉，但我们发现，在外岛被这片疯狂吞噬之际，无法返回大陆
Embla is convinced the calamity is somehow caused by the discovery of an ancient site known as “The Black Priory” on the island of Gradla,恩布拉确信，这场灾难是由格拉德拉岛上名为“黑修院”的古代遗址的发现引起的
Gradla is located to the north of Idra and we must find a ship and crew willing to take us there,格拉德拉位于伊德拉以北，我们必须找到一艘船和愿意载我们前往的船员
Gradla is within sight,格拉德拉已进入视线
Now we must make landfall and seek a way to reach the inland plateau,现在我们必须登陆，并寻找通往内陆高原的路
THE UN-BORN,未生者
"To make medicine she has asked me to find ""the un-born of the scaled ones",为了制药，她让我去找“鳞族之未生者”
"Apparently they dwell nearby: ""north of the great oak and past the fetid pools",显然它们就在附近：“大橡树以北，越过恶臭池塘”
STORMING THE KEEP,强攻要塞
TALK TO MARKUS,与马库斯交谈
#Side Quests,#支线任务
The Boar's Medicine,“野猪”的药
Kydeon asked me fetch a bottle of brandy from the wine cellar under the kitchen after I talk to Lyra,凯迪恩让我在和莱拉谈完后去厨房下面的酒窖拿一瓶白兰地
The old boar will sleep soundly tonight,这头老野猪今晚能睡个好觉了
M' damn knees are acting up again,我这该死的膝盖又犯毛病了
Can't hardly sleep on account of the aches,疼得我几乎睡不着觉
"Let me tell you, I'd take an arrow in the leg any day",我跟你说，我宁愿腿上挨一箭
"If you're going over to the kitchen later for a bit of grub, a bottle of brandy from the wine-cellar would make me a happy man!",要是你等会儿去厨房弄点吃的，顺便从酒窖带瓶白兰地，那我可就太高兴了！
Kydeon shifts as if to emphasize his stiff knees,凯迪恩挪了挪身子，仿佛在强调他那僵硬的膝盖
Ha!,哈！
That's some fine foraging young whelp!,干得漂亮，小崽子！
"Before you can get a word in, Kydeon snatches the bottle, uncorks it and drinks deeply",你还没来得及开口，凯迪恩就一把夺过酒瓶，拔开塞子，痛饮起来
"The old man, eyes closed in relief, lets out a deep sigh",老人闭上双眼，如释重负，发出一声深沉的叹息
May your sleep be dreamless,愿你一夜无梦
he speaks as if to himself,他像是在自言自语
The Cellar,地窖
Look for your father in the cellar under the kitchen,去厨房下面的地窖找你的父亲
You found your father,你找到了你的父亲
The Beast in the Hearth,壁炉里的小畜生
Lyra has betted with me to see if I can sneak into the hearth of the villa and confront the 'beast' that hides there,莱拉和我打了个赌，看我能不能溜进庄园的壁炉，去会会藏在那里的“小畜生”
I won our wager and snuk into the hearth,我赢了赌约，溜进了壁炉
There I met a mercenary by the name or Roland Greyeye,在那里我遇到了一个名叫罗兰·灰眼的雇佣兵
I failed to sneak into the hearth,我没能溜进壁炉
Exploring the Grounds,探索庄园
"While I wait for the Lord Berryn to become available, I should look for some food and perhaps walk the gardens and hedge maze before I check back in with Lyra again",在等贝林勋爵有空的时候，我应该找点吃的，或许还可以逛逛花园和树篱迷宫，然后再去找莱拉
The lord of House Berryn is ready for me now,贝林家族的领主现在准备好见我了
An Evening Meal,晚餐
I have been ordered to go procure a meal for myself from the kitchen as there is no saying how long I will be waiting,我奉命去厨房给自己弄点吃的，因为不知道要等多久
I should talk to the chef,我应该和厨师谈谈
Chef Armand taught me to make his famous melted cheese sandwiches,厨师阿曼德教我做他拿手的融化奶酪三明治
"Surely, old Magda cries in the tomb at what her kitchen has come to",老玛格达若是在天有灵，看到她的厨房变成这样，一定会哭的
Chef Armand has offered to teach me how to make his famous cheese sandwich,厨师阿曼德主动提出要教我做他拿手的奶酪三明治
For starters I have to fetch cheddar cheese and cured ham from the cellar under the kitchen,首先我得从厨房下面的地窖里拿切达干酪和熏火腿
My suggestion is thusly,我的建议是这样的
"Whilst I stoke the fire, you run down in the pantry and fetch some cured ham and cheddar cheese",我添柴生火，你跑去储藏室拿些熏火腿和切达干酪
I will then teach you how to cook my renowned melted cheese sandwich and you shall never want for an evening meal for as long as you live!,然后我就教你做我那道远近闻名的融化奶酪三明治，你这辈子就再也不用为晚餐发愁了！
The Hedge Maze,树篱迷宫
Lyra suggests I should explore the hedge-maze in the villa grounds while I wait for master Cato to become ready,莱拉建议我在等卡托大人准备好之前，去庄园里的树篱迷宫探索一番
"You managed to find ""Embla"" in the maze",你成功在迷宫中找到了“恩布拉”
A Deeper Dark,更深层的黑暗
One of the lighthouse keepers went mad and killed himself after dreaming of a strange blade buried deep within the caves below the lighthouse,一名灯塔看守人梦见灯塔下的洞穴深处埋着一把奇异的刀剑后，发了疯并自杀了
Perhaps that artifact should be recovered for safe-keeping... or use,或许应该把那件器物找回来妥善保管……或者使用
The entrance to the caves is under the broken bridge,洞穴的入口在断桥下面
"I recovered a strange dagger from some sort of ancient, pre-Imperial, ritual chamber in the caves beneath the lighthouse",我从灯塔下洞穴里某个古老的、帝国之前的仪式室中，找到了一把奇特的匕首
Find Froggert!,找到弗洛格特！
"Marsa, a young girl in the Idran camp, has lost her stuffed animal 'Froggert'",玛尔莎，伊德拉营地的一个小女孩，弄丢了她的毛绒玩具“弗洛格特”
Getting it back for her might be a small act of kindness in a sea of horrors,在这片恐怖之海中，帮她找回来或许是个小小的善举
The wayward reptile has been recovered,那只走失的爬行生物找回来了
Marsa was overjoyed,玛尔莎欣喜若狂
It felt good to help,助人的感觉真好
Lost Sailors,遇难水手
I met a small group of surviving sailors from the Zephyr camped near the wreck,我遇到了一小群西风号的幸存水手，他们在残骸附近扎了营
"Their de-facto leader, Snow, has asked that I send any survivors I find his way",他们的实际领头人，斯诺，请我把我找到的任何幸存者都送到他那里去
There should be at least 3 out there,外面至少应该有3个
Found so far,目前已找到
I sent those I could find to Snow’s camp,我把我能找到的人都送到了斯诺的营地
"Though the group is still small, they certainly stand a better chance together than alone",虽然队伍仍然很小，但他们聚在一起肯定比孤身一人更有机会
Sealed Away,封存之物
"Kat from the Zephyr, suggests we should look to see if the captain’s seal survived the sinking",西风号的卡蒂建议我们去找找看，船长的印章是否在沉船中幸存了下来
"Though the captain died on the Zephyr, one of the other crew-members might have managed to bring it ashore",虽然船长死在了西风号上，但其他船员可能设法把它带上了岸
Kat suggests we start by examining a cave to the west,卡蒂建议我们先去西边的一个洞穴看看
The seal is apparently quite valuable and the Nautical Guild would pay well to have it returned,这枚印章显然相当值钱，航海行会会出高价把它赎回去
We found the seal on one of the corpses in the cave,我们在洞穴的一具尸体上找到了印章
I'll hold onto it and perhaps there is an opportunity to return it to the Nautical Guild if we ever make it back to the mainland,我会保管好它，如果我们能回到大陆，或许有机会把它还给航海行会
Rescue Natia,营救娜蒂亚
"Philip, a survivor from Horryn, has pleaded with me to try and rescue his wife Natia who is being dragged away the meet “The Father” inside the keep",菲利普，一名霍林的幸存者，恳求我设法营救他的妻子娜蒂亚，她正被拖去要塞里见“父亲”
She has auburn hair,她有一头赤褐色的头发
I managed to save Natia but not without her suffering a grievous wound,我设法救下了娜蒂亚，但她还是受了重伤
Thankfully I feel certain she will recover,谢天谢地，我确信她会康复的
Philip took her to their small home near the Fisherman’s Gate,菲利普把她带回了他们在渔夫之门附近的小家
I failed to rescue Natia and she lost her life at the hands of a Reaver,我没能救出娜蒂亚，她死在了劫掠者的手中
Philip offered me a gold ring as reward for the rescue of his wife,菲利普给了我一枚金戒指，作为我营救他妻子的酬谢
Badge of Honor,荣誉徽章
Encountered a ‘sewerjack’ under Horryn,在霍林地下遇到了一个“下水道工”
He lost his badge in a scrap with some vermin in one of the side-tunnels east of where I met him,他在我遇到他的地方东边的一条支巷里，和一群虫群厮打时弄丢了徽章
It seems he would be very happy if we recovered it for him,看来如果我们能帮他找回来，他会非常高兴
I recovered the badge for the sewerjack,我为下水道工找回了徽章
He couldn't offer much in the way of a reward but instead provided me with a hand drawn map of the sewers,他没能提供什么像样的报酬，而是给了我一张手绘的下水道地图
Timber!,倒木！
A lumberjack and his son were attacked by monsters in the woods,一个伐木工和他的儿子在树林里遭到了怪物的袭击
The son got away but apparently his father didn’t,儿子逃了出来，但他父亲显然没有
The kid asked me to look for his father,那孩子求我去找他父亲
Apparently their camp can be found east of the big oak,显然他们的营地在大橡树东边
"Against all odds, I found the lumberjack alive in a giant spider cocoon",出乎所有意料，我在一个巨蜘蛛的茧里找到了活着的伐木工
He was grateful to be released and reunited with his son,他很感激被解救出来，并与儿子团聚
The Stargazer,看星星的人
"It seems Basilo, the wreck picker, has come across a chest of my belongings",看来巴西洛，那个捡残骸的，发现了一箱我的东西
He’s agreed to turn it over if I help him,他同意如果我帮他，就把箱子还给我
It would appear an astronomer has set up a camp in the cliffs west of Basilo’s house,似乎有个天文学家在巴西洛房子西边的悬崖上扎了营
He’s asked me to bring him the telescope from the camp,他让我把营地里的望远镜带给他
I brought Basilo the telescope and traded it for my belongings,我把望远镜带给了巴西洛，换回了我的东西
Well of Tears,泪井
"Marita, a mourning mother, is being haunted by the laughter of her dead children coming from a well on her farm",玛丽塔，一位哀悼的母亲，被她农场里一口井中传出的已故孩子的笑声所困扰
"Sadly, it seems to have driven her mad with grief",可悲的是，这似乎已让她因悲痛而发疯
Perhaps there is a way for me to help her?,或许我有办法帮帮她？
I ventured into the well and recovered the bones of Marita’s two children,我冒险进入井中，找回了玛丽塔两个孩子的遗骨
"In the darkness below, I encountered some kind of abominable mold creature that had the ability to mimic its victims",在下面的黑暗中，我遇到了一种可憎的霉菌生物，它能够模仿受害者的声音
I pray this is the last time I encounter such a horror,我祈祷这是我最后一次遇到这种恐怖之物
Zephyr's Wreck,西风号残骸
A group of Snow’s sailors disappeared whilst exploring the wreckage of the Zephyr,斯诺的一群水手在探索西风号残骸时失踪了
Snow asks that I investigate their fate,斯诺请我去调查他们的命运
Examining the wreckage I came across a monstrously grown rat creature that spoke with the voice of a man,在检查残骸时，我遇到了一只长得异常巨大的鼠类生物，它竟能口吐人言
I dispatched it though I came too late to save the lives of the lost sailors,我解决了它，但来得太晚，没能救下那些失踪水手的性命
I best report back to Snow,我最好回去向斯诺报告
Snow could not pay me for my work but assures me the Nautical Guild will not forget my service,斯诺无法为我的工作支付报酬，但他向我保证航海行会不会忘记我的贡献
The Lost Captain,失踪的船长
"Zhara, this first mate of a stranded smuggler’s crew, has asked me to learn the fate of their captain, Iago",扎拉，一队搁浅走私者的大副，请我去查明他们船长伊阿戈的下落
He traveled to Horryn to visit the city’s black market right before it fell and that is where I should search for him,他在霍林沦陷前去了城里的黑市，我应该去那里找他
The entrance to the black market can be found in the city’s sewers,黑市的入口在城里的下水道中
We found Captain Iago in chains in the Rat Queen's dungeons,我们在鼠后的地牢里找到了戴着锁链的伊阿戈船长
I should try to free him somehow as he has the potential to become a valuable ally,我应该设法解救他，因为他有可能成为宝贵的同伴
Sisters,姐妹
"A woman named Julia in Horryn, asked me to find her sister, Ylia, who lives in Firgol",霍林一个名叫茱莉亚的女人，请我去找她住在菲尔戈的妹妹，伊莉娅
Julia is convinced her sister is worried about her safety considering last week’s events in Horryn,茱莉亚确信，考虑到上周霍林发生的事，她妹妹一定在担心她的安全
She wants me to inform Ylia that she is safe given the circumstances,她想让我告诉伊莉娅，就目前情况而言，她是安全的
I met Ylia and talked to her but the encounter left me none the wiser,我见到了伊莉娅并和她谈了谈，但这次会面让我更加困惑
It seems Ylia is not only oblivious to the state of the Outer Isles,看来伊莉娅不仅对外岛群岛的现状一无所知
She also insists that her sister was not late at all and was in fact due to arrive in a few days time,她还坚称她姐姐根本没有迟到，实际上应该几天后才到
I’m not sure what to make of this,我不知道这是怎么回事
Iago in Chains,身陷囹圄的伊阿戈
"I found Iago zha Droma, captain of the Weathermaiden, in chains in the black market of the Rat Queen",我发现天候少女号的船长，伊阿戈·扎·德罗马，被锁在鼠后的黑市里
He begged me to intercede to the queen on his behalf,他恳求我替他向女王求情
"If I somehow manage to free him, he might make a valuable ally",如果我能设法救他出来，他或许能成为宝贵的同伴
Iago has been freed from the dungeons of the Rat-Queen,伊阿戈已从鼠后的地牢中被解救出来
The Queen's Request,女王之请
The Rat Queen has asked me to recover the Harbormaster's Ledger for her,鼠后请我帮她找回港务长的账本
She recommends searching the eastern sea-tower,她建议搜查东边的海塔
We can find that by following the eastern jetty all the way around to the entrance of the harbor,我们可以沿着东防波堤一路绕到港口入口处找到它
"I recovered the ledger and in return, the queen released Iago",我找回了账本，作为回报，女王释放了伊阿戈
There is little love lost there,他们之间没什么情谊可言
Dying Light,将熄之光
Mathias needs oil for the lighthouse,马蒂亚斯需要灯塔用的油
I should search for it in the warehouses along the harbor in Horryn once I make my way there,等我到了霍林，应该在港口沿线的仓库里找找
I found the oil and brought it to Mathias,我找到了油并带给了马蒂亚斯
The lighthouse should be well stocked for now,灯塔的储备暂时应该充足了
"To show his gratitude, Mathias gave me his old broadsword",为了表示感谢，马蒂亚斯把他那把旧阔剑给了我
Fate of the Santa Fury,圣怒号的命运
"According to Carylla the mercenary captain, the wreck of the lost treasure-ship, the Santa Fury, is said to be located here on Idra",据雇佣兵队长卡莉拉说，失踪的宝船圣怒号的残骸，据说就在伊德拉这里
Perhaps I could find it?,也许我能找到它？
Hidden Clues,隐藏线索
"Carylla the mercenary captain says the Santa Fury is supposed to be found ""on dry land and near the lighthouse"" according to the rumor",雇佣兵队长卡莉拉说，根据传闻，圣怒号应该能在“陆地上，靠近灯塔的地方”找到
I should search for it,我应该去找找看
Found the Santa Fury - in a sense,在某种意义上找到了圣怒号
Turns out there is a painting of the ship hanging in the lighthouse,原来灯塔里挂着一幅这艘船的画
On the back of the painting was a poem,画的背面有一首诗
It seems like it might offer directions to something buried in the ground,它似乎可能指向埋在地下的什么东西
Buried Secrets,埋藏的秘密
"From the back of the ""Santa Fury""",来自“圣怒号”的背面
"From the center of the three,",从三者之中心出发，
The Santy Fury made her flight.,圣·狂怒号开始了她的航程。
"Setting out to hide her booty,",出发去藏匿她的战利品，
All within the lighthouse's sight.,一切尽在灯塔的视野之中。
"2 leagues south began her trip,",向南两里格，她开始了旅程，
"""5 east"" the Captain cried.",“向东五里格，”船长喊道。
"4 more north, our valiant ship,",再向北四里格，我们英勇的船，
Our plunder we shall hide!,我们的掠夺物我们将藏起！
"""Land ahoy!"" went up the roar:",“看到陆地了！”吼声响起：
We'll lay our treasure there!,我们将把宝藏放在那里！
"Into the rising sun: 3 more,",朝着升起的太阳：再三里格，
Then dig and have no fear!,然后挖掘，无所畏惧！
Pilgrimage,朝圣之旅
There are five pilgrim-shrines in the Outer Isles and I should attempt to visit all of them,外岛群岛有五座朝圣神龛，我应该设法全部拜访一遍
I’ve learned the prayer to recite at each of them,我已经学会了在每座神龛前要念诵的祷文
Shrine of Agility,敏捷神龛
I should pray at the Shrine of Agility to receive its blessing,我应该在敏捷神龛前祈祷以获得其祝福
The shrine can be found on one of the small islands in the archipelago of the Outer Isles,这座神龛位于外岛群岛中的一个小岛上
Shrine of Fortitude,坚韧神龛
I should pray at the Shrine of Fortitude to receive its blessing,我应该在坚韧神龛前祈祷以获得其祝福
"The shrine is said to be located somewhere on the island of Eryll, north of Idra",据说这座神龛位于伊德拉北边的埃里尔岛上某处
Shrine of Intellect,智力神龛
I should pray at the Shrine of Intellect to receive its blessing,我应该在智力神龛前祈祷以获得其祝福
The shrine can be found on an island directly east of Idra,这座神龛位于伊德拉正东边的一个岛上
Shrine of Presence,魅力神龛
I should pray at the Shrine of Presence to receive its blessing,我应该在魅力神龛前祈祷以获得其祝福
The shrine can be found on Idra - at the island’s northernmost point,这座神龛位于伊德拉——岛的最北端
Shrine of Strength,力量神龛
I should pray at the Shrine of Strength to receive its blessing,我应该在力量神龛前祈祷以获得其祝福
"The shrine is said to be located on Gradla's western coast, near the volcano Karaban",据说这座神龛位于格拉德拉的西海岸，靠近卡拉班火山
Carnivale,狂欢节
Preparations,准备工作
The Baron and Baroness of Firgol are putting on a feast called the Carnivale for the commoners of the village of Firgol,菲尔戈的男爵和男爵夫人正在为菲尔戈村的平民举办一场名为狂欢节的盛宴
"The preparations are taking a bit longer than expected however, and they’ve asked me to see if I can help out",然而，准备工作比预期要长一些，他们请我看看能否帮上忙
"The Baroness asked me to talk to Ari the brewer, Camilla the weaver and Klara the cook to see if they need my help",男爵夫人让我去找酿酒师阿里、织布工卡米拉和厨师克拉拉谈谈，看看他们是否需要我帮忙
All three can be found in the main village,这三个人都可以在主村里找到
The Brewer,酿酒师
The Baroness of Firgol has asked me to talk to Ari the brewer to see if they need my help in finishing preparations for the Canivale,菲尔戈男爵夫人让我去找酿酒师阿里谈谈，看看他们是否需要我帮忙完成狂欢节的准备工作
Talk to Ari,与阿里交谈
I need to seek out Ari the Brewer,我需要找到酿酒师阿里
He lives somewhere in the village of Firgol,他住在菲尔戈村的某个地方
Gnawing at the Roots,啃噬根源
Ari the Brewer in Firgol has asked me to find and clear three mole-burrows in his orchards,菲尔戈的酿酒师阿里请我去他的果园里找到并清除三个鼹鼠洞
They may be well hidden so I might need to search for them,它们可能藏得很好，所以我可能需要仔细搜寻
"Once I find them, I should use a shovel to collapse them",一旦找到它们，我应该用铲子把它们捣毁
Once I’m done I am to return to Ari,完成后我要回去找阿里
